regiao,area,tipo
CAPITAL,AEROLÂNDIA,Bairro
CAPITAL,AEROPORTO,Bairro
CAPITAL,ALDEOTA,Bairro
CAPITAL,ALTO ALEGRE II,Bairro
CAPITAL,ALTO DA BALANÇA,Bairro
CAPITAL,AMADEU FURTADO,Bairro
CAPITAL,ANCURI,Bairro
CAPITAL,ANTÔNIO BEZERRA,Bairro
CAPITAL,ARACAPÉ,Bairro
CAPITAL,AUTRAN NUNES,Bairro
CAPITAL,BARRA DO CEARÁ,Bairro
CAPITAL,BARROSO,Bairro
CAPITAL,BELA VISTA,Bairro
CAPITAL,BENFICA,Bairro
CAPITAL,BOA VISTA/CASTELÃO,Bairro
CAPITAL,BOM FUTURO,Bairro
CAPITAL,BOM JARDIM,Bairro
CAPITAL,BONSUCESSO,Bairro
CAPITAL,CAIS DO PORTO,Bairro
CAPITAL,CAJAZEIRAS,Bairro
CAPITAL,CAMBEBA,Bairro
CAPITAL,CANINDEZINHO,Bairro
CAPITAL,CARARU,Bairro
CAPITAL,CARLITO PAMPLONA,Bairro
CAPITAL,CENTRO,Bairro
CAPITAL,CIDADE 2000,Bairro
CAPITAL,CIDADE DOS FUNCIONÁRIOS,Bairro
CAPITAL,CIDADE NOVA,Bairro
CAPITAL,COAÇU,Bairro
CAPITAL,COCÓ,Bairro
CAPITAL,CONJUNTO CEARÁ I,Bairro
CAPITAL,CONJUNTO CEARÁ II,Bairro
CAPITAL,CONJUNTO ESPERANÇA,Bairro
CAPITAL,CONJUNTO PALMEIRAS,Bairro
CAPITAL,COUTO FERNANDES,Bairro
CAPITAL,CRISTO REDENTOR,Bairro
CAPITAL,CURIÓ,Bairro
CAPITAL,DAMAS,Bairro
CAPITAL,DE LOURDES,Bairro
CAPITAL,DEMÓCRITO ROCHA,Bairro
CAPITAL,DIAS MACÊDO,Bairro
CAPITAL,DIF III,Bairro
CAPITAL,DIONÍSIO TORRES,Bairro
CAPITAL,DOM LUSTOSA,Bairro
CAPITAL,EDSON QUEIROZ,Bairro
CAPITAL,ELLERY,Bairro
CAPITAL,ENGENHEIRO LUCIANO CAVALCANTE,Bairro
