local_oficial,faccao_predominante,count,total_local,percentual,criticidade_territorio,regiao
FORTALEZA,CV,55088,55088,100.0,CRÍTICO,CAPITAL
BARRA DO CEARÁ,CV,61,61,100.0,CRÍTICO,CAPITAL
PRAIA DE IRACEMA,CV,38,38,100.0,CRÍTICO,CAPITAL
CAIS DO PORTO,CV,32,32,100.0,CRÍTICO,CAPITAL
MEIRELES,CV,31,31,100.0,CRÍTICO,CAPITAL
CRISTO REDENTOR,CV,1,1,100.0,CRÍTICO,CAPITAL
PARQUE LEBLON,TCP,1,1,100.0,CRÍTICO,CAPITAL
MARACANAÚ,TCP,7552,7552,100.0,CRÍTICO,RMF
CAUCAIA,MASSA,4226,8452,50.0,MÉDIO,RMF
EUSÉBIO,CV,880,880,100.0,CRÍTICO,RMF
AQUIRAZ,CV,870,870,100.0,CRÍTICO,RMF
ITAITINGA,CV,822,822,100.0,CRÍTICO,RMF
MARANGUAPE,CV,742,742,100.0,CRÍTICO,RMF
PACAJUS,CV,422,422,100.0,CRÍTICO,RMF
PACATUBA,TCP,415,415,100.0,CRÍTICO,RMF
HORIZONTE,CV,415,415,100.0,CRÍTICO,RMF
CASCAVEL,CV,312,312,100.0,CRÍTICO,RMF
SÃO GONÇALO DO AMARANTE,CV,172,172,100.0,CRÍTICO,RMF
TRAIRI,CV,144,144,100.0,CRÍTICO,RMF
GUAIÚBA,CV,130,130,100.0,CRÍTICO,RMF
PINDORETAMA,TCP,102,102,100.0,CRÍTICO,RMF
PARACURU,TCP,95,95,100.0,CRÍTICO,RMF
PARAIPABA,CV,52,52,100.0,CRÍTICO,RMF
CHOROZINHO,CV,44,44,100.0,CRÍTICO,RMF
SÃO LUÍS DO CURU,CV,44,44,100.0,CRÍTICO,RMF
SOBRAL,CV,649,649,100.0,CRÍTICO,INTERIOR
JUAZEIRO DO NORTE,TCP,405,405,100.0,CRÍTICO,INTERIOR
ITAPIPOCA,PCC,192,192,100.0,CRÍTICO,INTERIOR
CRATO,PCC,169,169,100.0,CRÍTICO,INTERIOR
QUIXADÁ,TCP,152,152,100.0,CRÍTICO,INTERIOR
MORADA NOVA,TCP,147,147,100.0,CRÍTICO,INTERIOR
TIANGUÁ,PCC,136,136,100.0,CRÍTICO,INTERIOR
ITAREMA,TCP,133,133,100.0,CRÍTICO,INTERIOR
AMONTADA,CV,126,126,100.0,CRÍTICO,INTERIOR
VARJOTA,CV,120,120,100.0,CRÍTICO,INTERIOR
RUSSAS,PCC,114,114,100.0,CRÍTICO,INTERIOR
BOA VIAGEM,CV,110,110,100.0,CRÍTICO,INTERIOR
LIMOEIRO DO NORTE,TCP,106,106,100.0,CRÍTICO,INTERIOR
CANINDÉ,TCP,106,106,100.0,CRÍTICO,INTERIOR
FORQUILHA,TCP,104,104,100.0,CRÍTICO,INTERIOR
IGUATU,TCP,101,101,100.0,CRÍTICO,INTERIOR
ITAPAJÉ,CV,97,97,100.0,CRÍTICO,INTERIOR
ARACATI,CV,95,95,100.0,CRÍTICO,INTERIOR
SÃO BENEDITO,TCP,85,85,100.0,CRÍTICO,INTERIOR
PENTECOSTE,CV,83,83,100.0,CRÍTICO,INTERIOR
CAMOCIM,CV,82,82,100.0,CRÍTICO,INTERIOR
CRATEÚS,CV,72,72,100.0,CRÍTICO,INTERIOR
BEBERIBE,CV,70,70,100.0,CRÍTICO,INTERIOR
BARBALHA,TCP,60,60,100.0,CRÍTICO,INTERIOR
GROAÍRAS,MASSA,55,55,100.0,CRÍTICO,INTERIOR
VIÇOSA DO CEARÁ,CV,55,55,100.0,CRÍTICO,INTERIOR
BATURITÉ,TCP,53,53,100.0,CRÍTICO,INTERIOR
CARIRÉ,PCC,53,53,100.0,CRÍTICO,INTERIOR
PEDRA BRANCA,PCC,53,53,100.0,CRÍTICO,INTERIOR
ACARAÚ,CV,52,52,100.0,CRÍTICO,INTERIOR
TAUÁ,PCC,51,51,100.0,CRÍTICO,INTERIOR
TABULEIRO DO NORTE,CV,48,48,100.0,CRÍTICO,INTERIOR
UBAJARA,CV,47,47,100.0,CRÍTICO,INTERIOR
ITAPIÚNA,TCP,43,43,100.0,CRÍTICO,INTERIOR
ICÓ,CV,43,43,100.0,CRÍTICO,INTERIOR
ACOPIARA,PCC,41,41,100.0,CRÍTICO,INTERIOR
ALTO SANTO,TCP,41,41,100.0,CRÍTICO,INTERIOR
IBICUITINGA,CV,41,41,100.0,CRÍTICO,INTERIOR
TEJUÇUOCA,CV,39,39,100.0,CRÍTICO,INTERIOR
ARACOIABA,CV,39,39,100.0,CRÍTICO,INTERIOR
JAGUARETAMA,TCP,38,38,100.0,CRÍTICO,INTERIOR
SENADOR POMPEU,CV,38,38,100.0,CRÍTICO,INTERIOR
