ais,count_cvli,criticidad_score
14,907,1.0
11,774,0.8533627342888643
17,743,0.8191841234840133
19,586,0.6460859977949284
18,547,0.6030871003307607
12,496,0.5468577728776185
3,466,0.5137816979051819
15,455,0.5016538037486218
20,454,0.5005512679162073
13,358,0.3947078280044101
7,355,0.3914002205071665
24,318,0.350606394707828
9,309,0.340683572216097
2,292,0.3219404630650496
6,287,0.3164277839029768
21,266,0.2932745314222712
16,255,0.28114663726571115
8,254,0.28004410143329656
23,215,0.237045203969129
25,189,0.20837927232635062
5,153,0.16868798235942667
4,132,0.14553472987872107
10,106,0.11686879823594266
1,76,0.08379272326350606
22,69,0.07607497243660419
