bairro_normalizado,operacoes_raio,status
ARATURI,27,FALTANTE_NO_MODELO
POTIRA,26,FALTANTE_NO_MODELO
JARDIM ICARAI,10,FALTANTE_NO_MODELO
JUREMA,10,FALTANTE_NO_MODELO
CONJUNTO METROPOLITANO,9,FALTANTE_NO_MODELO
GUAJIRU,8,FALTANTE_NO_MODELO
NOVA METROPOLE,8,FALTANTE_NO_MODELO
PARQUE GUADALAJARA,7,FALTANTE_NO_MODELO
PADRE JULIO MARIA,6,FALTANTE_NO_MODELO
CAMPO GRANDE,6,FALTANTE_NO_MODELO
ARIANOPOLIS,6,FALTANTE_NO_MODELO
TABAPUAZINHO,6,FALTANTE_NO_MODELO
PICUI,6,FALTANTE_NO_MODELO
CIGANA,5,FALTANTE_NO_MODELO
BOA VISTA,5,FALTANTE_NO_MODELO
MESTRE ANTONIO,4,FALTANTE_NO_MODELO
ITAMBE I,4,FALTANTE_NO_MODELO
PARQUE POTIRA,4,FALTANTE_NO_MODELO
ITAMBE,4,FALTANTE_NO_MODELO
METROPOLE SUL,4,FALTANTE_NO_MODELO
ARIANOPOLES,4,FALTANTE_NO_MODELO
MUNGUBA,3,FALTANTE_NO_MODELO
TOCO,3,FALTANTE_NO_MODELO
CUMBUCO,3,FALTANTE_NO_MODELO
MATOES,2,FALTANTE_NO_MODELO
CAPUAN,2,FALTANTE_NO_MODELO
ZONA RURAL,2,FALTANTE_NO_MODELO
PARQUE BOA VISTA,2,FALTANTE_NO_MODELO
METROPOLE,2,FALTANTE_NO_MODELO
VILA NOVA,2,FALTANTE_NO_MODELO
ICARAI,2,FALTANTE_NO_MODELO
CONJ. METROPOLITANO,1,FALTANTE_NO_MODELO
CONJUNTO CEARA,1,FALTANTE_NO_MODELO
POTIRA 1,1,FALTANTE_NO_MODELO
"RUA JOSE LINO DA SILVEIRA, 315, CONDOMINIO LINO III",1,FALTANTE_NO_MODELO
METROPOLES SUL,1,FALTANTE_NO_MODELO
NOVA METROPOLE 5,1,FALTANTE_NO_MODELO
CONJUNTO NOVO PARAISO,1,FALTANTE_NO_MODELO
PADRE ROMUALDO,1,FALTANTE_NO_MODELO
POSTI IBIS,1,FALTANTE_NO_MODELO
BOM JESUS,1,FALTANTE_NO_MODELO
PARQUE ITAPUA,1,FALTANTE_NO_MODELO
ITAPUA,1,FALTANTE_NO_MODELO
CARRAPICHO,1,FALTANTE_NO_MODELO
PARQUE ITAPOA,1,FALTANTE_NO_MODELO
CONJUNTO EL DOURADO,1,FALTANTE_NO_MODELO
CONJUNTO SAO DOMINGOS,1,FALTANTE_NO_MODELO
METROPOLE V,1,FALTANTE_NO_MODELO
CAJUEIROS,1,FALTANTE_NO_MODELO
RONDON,1,FALTANTE_NO_MODELO
MADUREIRA,1,FALTANTE_NO_MODELO
PARQUE SAO GERARDO,1,FALTANTE_NO_MODELO
TABAPUA BRASILIA,1,FALTANTE_NO_MODELO
PARQUE IPIRANGA,1,FALTANTE_NO_MODELO
PLANAUTO CAUCAIA,1,FALTANTE_NO_MODELO
GUAIE,1,FALTANTE_NO_MODELO
CERCADAO,1,FALTANTE_NO_MODELO
GRILO,1,FALTANTE_NO_MODELO
SAO MIGUE,1,FALTANTE_NO_MODELO
POTIRA III,1,FALTANTE_NO_MODELO
PATRICIA GOMES,1,FALTANTE_NO_MODELO
ITAMBE II,1,FALTANTE_NO_MODELO
CAPUA,1,FALTANTE_NO_MODELO
JARDIM DO AMOR,1,FALTANTE_NO_MODELO
FAVELA DOS CAJUEIROS,1,FALTANTE_NO_MODELO
CAMURUPIM,1,FALTANTE_NO_MODELO
CURICACA,1,FALTANTE_NO_MODELO
TABUBA,1,FALTANTE_NO_MODELO
PLANALTO CAUCAIA,1,FALTANTE_NO_MODELO
TUCUNDUBA,1,FALTANTE_NO_MODELO
