date,operacoes_total,arrest_count
2025-01-02,13.0,4
2025-01-03,14.0,1
2025-01-04,17.0,3
2025-01-05,18.0,6
2025-01-06,24.0,9
2025-01-07,30.0,10
2025-01-08,27.0,7
2025-01-09,30.0,10
2025-01-10,38.0,13
2025-01-11,22.0,7
2025-01-12,22.0,8
2025-01-13,21.0,5
2025-01-14,18.0,4
2025-01-15,18.0,9
2025-01-16,25.0,11
2025-01-17,21.0,9
2025-01-18,12.0,3
2025-01-19,16.0,4
2025-01-20,17.0,6
2025-01-21,24.0,10
2025-01-22,26.0,12
2025-01-23,30.0,7
2025-01-24,18.0,4
2025-01-25,24.0,9
2025-01-26,13.0,5
2025-01-27,17.0,6
2025-01-28,29.0,11
2025-01-29,25.0,7
2025-01-30,27.0,11
2025-01-31,17.0,5
2025-02-01,21.0,6
2025-02-02,23.0,8
2025-02-03,27.0,9
2025-02-04,26.0,10
2025-02-05,24.0,11
2025-02-06,21.0,5
2025-02-07,25.0,10
2025-02-08,25.0,7
2025-02-09,14.0,2
2025-02-10,22.0,7
2025-02-11,21.0,8
2025-02-12,23.0,6
2025-02-13,29.0,14
2025-02-14,22.0,10
2025-02-15,33.0,12
2025-02-16,20.0,7
2025-02-17,23.0,7
2025-02-18,23.0,7
2025-02-19,20.0,9
2025-02-20,29.0,8
2025-02-21,33.0,10
2025-02-22,21.0,7
2025-02-23,26.0,12
2025-02-24,26.0,15
2025-02-25,27.0,9
2025-02-26,26.0,11
2025-02-27,36.0,18
2025-02-28,30.0,13
2025-03-01,25.0,12
2025-03-02,28.0,9
2025-03-03,29.0,9
2025-03-04,19.0,10
2025-03-05,19.0,6
2025-03-06,28.0,9
2025-03-07,30.0,14
2025-03-08,24.0,10
2025-03-09,17.0,3
2025-03-10,15.0,10
2025-03-11,19.0,8
2025-03-12,23.0,9
2025-03-13,25.0,10
2025-03-14,16.0,9
2025-03-15,19.0,11
2025-03-16,17.0,7
2025-03-17,24.0,10
2025-03-18,18.0,9
2025-03-19,19.0,7
2025-03-20,31.0,10
2025-03-21,21.0,13
2025-03-22,14.0,4
2025-03-23,20.0,8
2025-03-24,22.0,9
2025-03-25,21.0,8
2025-03-26,26.0,12
2025-03-27,34.0,20
2025-03-28,21.0,12
2025-03-29,26.0,8
2025-03-30,17.0,5
2025-03-31,28.0,14
2025-04-01,27.0,13
2025-04-02,19.0,6
2025-04-03,22.0,11
2025-04-04,30.0,10
2025-04-05,21.0,8
2025-04-06,18.0,10
2025-04-07,18.0,6
2025-04-08,23.0,12
2025-04-09,31.0,6
2025-04-10,25.0,16
2025-04-11,35.0,14
2025-04-12,27.0,14
2025-04-13,26.0,7
2025-04-14,22.0,11
2025-04-15,21.0,8
2025-04-16,27.0,18
2025-04-17,37.0,16
2025-04-18,29.0,15
2025-04-19,29.0,12
2025-04-20,21.0,9
2025-04-21,22.0,8
2025-04-22,37.0,17
2025-04-23,15.0,8
2025-04-24,25.0,18
2025-04-25,26.0,8
2025-04-26,33.0,13
2025-04-27,14.0,6
2025-04-28,30.0,10
2025-04-29,26.0,9
2025-04-30,34.0,14
2025-05-01,26.0,11
2025-05-02,30.0,13
2025-05-03,30.0,5
2025-05-04,18.0,6
2025-05-05,25.0,10
2025-05-06,22.0,5
2025-05-07,32.0,15
2025-05-08,35.0,19
2025-05-09,32.0,14
2025-05-10,26.0,12
2025-05-11,21.0,16
2025-05-12,23.0,11
2025-05-13,27.0,11
2025-05-14,26.0,10
2025-05-15,21.0,10
2025-05-16,21.0,6
2025-05-17,24.0,8
2025-05-18,18.0,9
2025-05-19,26.0,9
2025-05-20,11.0,4
2025-05-21,24.0,10
2025-05-22,28.0,12
2025-05-23,34.0,10
2025-05-24,33.0,10
2025-05-25,12.0,6
2025-05-26,22.0,9
2025-05-27,18.0,7
2025-05-28,32.0,15
2025-05-29,25.0,11
2025-05-30,27.0,13
2025-05-31,17.0,7
2025-06-01,23.0,7
2025-06-02,22.0,7
2025-06-03,14.0,7
2025-06-04,20.0,9
2025-06-05,21.0,7
2025-06-06,22.0,6
2025-06-07,20.0,8
2025-06-08,18.0,8
2025-06-09,20.0,9
2025-06-10,28.0,10
2025-06-11,22.0,10
2025-06-12,32.0,13
2025-06-13,24.0,5
2025-06-14,24.0,2
2025-06-15,39.0,13
2025-06-16,22.0,11
2025-06-17,14.0,8
2025-06-18,28.0,14
2025-06-19,19.0,11
2025-06-20,27.0,11
2025-06-21,24.0,9
2025-06-22,25.0,12
2025-06-23,22.0,8
2025-06-24,25.0,9
2025-06-25,17.0,5
2025-06-26,26.0,11
2025-06-27,22.0,9
2025-06-28,26.0,8
2025-06-29,17.0,6
2025-06-30,23.0,12
2025-07-01,20.0,12
2025-07-02,18.0,4
2025-07-03,17.0,5
2025-07-04,21.0,8
2025-07-05,12.0,4
2025-07-06,19.0,2
2025-07-07,21.0,9
2025-07-08,18.0,7
2025-07-09,31.0,13
2025-07-10,23.0,9
2025-07-11,22.0,10
2025-07-12,25.0,9
2025-07-13,12.0,6
2025-07-14,24.0,6
2025-07-15,24.0,9
2025-07-16,22.0,11
2025-07-17,21.0,8
2025-07-18,23.0,6
2025-07-19,17.0,9
2025-07-20,13.0,1
2025-07-21,26.0,8
2025-07-22,26.0,11
2025-07-23,20.0,3
2025-07-24,21.0,5
2025-07-25,20.0,9
2025-07-26,20.0,3
2025-07-27,18.0,3
2025-07-28,22.0,11
2025-07-29,27.0,10
