bairro_cidade,mean_monthly,std_monthly,peak_monthly,cv
NONE / FORTALEZA,64.95918367346938,12.62926360955887,90,0.1944184470211702
NONE / CAUCAIA,18.73469387755102,5.96788457147953,31,0.3185472156889945
NONE / MARACANAÚ,13.8125,4.774293976990043,25,0.34565024267801214
NONE / SOBRAL,7.872340425531915,4.062645428977419,18,0.5160657707079424
NONE / MARANGUAPE,6.479166666666667,4.166684397125396,21,0.6430895532540803
NONE / JUAZEIRO DO NORTE,6.040816326530612,2.684517210423734,13,0.444396430103929
NONE / ITAPIPOCA,4.675,2.6735887722454486,11,0.5718906464696147
NONE / PACATUBA,4.229166666666667,2.1461453157491586,9,0.5074629318027567
NONE / AQUIRAZ,3.761904761904762,2.4175125677230143,12,0.6426299230656114
NONE / CASCAVEL,3.75,1.9839783801155593,11,0.5290609013641492
NONE / CRATO,3.6444444444444444,2.0687672609063545,9,0.5676495532974754
NONE / MORADA NOVA,3.4285714285714284,2.2102075517025064,10,0.6446438692465644
NONE / HORIZONTE,3.340909090909091,1.867010815954792,9,0.5588331694014343
NONE / QUIXADÁ,3.3181818181818183,2.0884257704624076,10,0.6293885883585337
NONE / ITAREMA,3.268292682926829,2.510223000491216,9,0.7680533061204466
NONE / AMONTADA,3.25,2.0847431127488694,11,0.6414594193073444
NONE / SÃO GONÇALO DO AMARANTE,3.0,1.7390774117049643,8,0.5796924705683214
NONE / PACAJUS,2.9574468085106385,1.5173983284973493,7,0.5130771326573771
NONE / LIMOEIRO DO NORTE,2.914285714285714,1.3144318515757958,5,0.45103053730542014
NONE / TRAIRI,2.857142857142857,1.8929694486000912,8,0.6625393070100319
NONE / TIANGUÁ,2.8260869565217392,1.829442511636166,9,0.6473411964251048
NONE / RUSSAS,2.5476190476190474,1.4849222851041974,7,0.5828666913493111
NONE / CANINDÉ,2.5384615384615383,1.5016859620922545,7,0.5915732577939184
NONE / ARACATI,2.5,1.6647608150808246,8,0.6659043260323299
NONE / BOA VIAGEM,2.477272727272727,1.517167439727446,7,0.612434562825758
NONE / SÃO BENEDITO,2.4166666666666665,1.4015297764534702,6,0.5799433557738498
NONE / ITAPAJÉ,2.292682926829268,1.6316234620620098,8,0.711665552601515
NONE / GUAIÚBA,2.242424242424242,1.6776155517263003,7,0.7481258541482151
NONE / CAMOCIM,2.2222222222222223,1.4164565670535776,6,0.6374054551741098
NONE / IGUATU,2.2142857142857144,1.1798245898089128,6,0.5328240083007993
NONE / FORQUILHA,2.13953488372093,1.2645608187154715,6,0.5910447304865791
NONE / TAUÁ,2.1363636363636362,1.4571810537392476,6,0.6820847485587967
NONE / PENTECOSTE,2.108108108108108,1.3901195748684474,6,0.6594156957709303
NONE / ITAITINGA,2.1052631578947367,1.3514651445687944,6,0.6419459436701774
NONE / CRATEÚS,2.0285714285714285,1.0977440579692164,4,0.5411414370270785
NONE / PARACURU,2.026315789473684,1.2189238076816546,6,0.6015468141805569
NONE / CARIRÉ,2.0,1.5036188231122247,6,0.7518094115561124
NONE / SÃO JOÃO DO JAGUARIBE,2.0,1.7320508075688774,7,0.8660254037844387
NONE / VARJOTA,1.9,1.4467561813504937,8,0.7614506217634177
NONE / BEBERIBE,1.8918918918918919,1.3077500564749405,7,0.6912393155653257
NONE / VIÇOSA DO CEARÁ,1.8620689655172413,1.5748954144648664,9,0.8457771670274282
NONE / CHORÓ,1.8571428571428572,0.7703288865196433,3,0.41479247735673097
NONE / EUSÉBIO,1.8461538461538463,0.8441271274443497,4,0.4572355273656894
NONE / GROAÍRAS,1.8461538461538463,0.7844645405527362,3,0.42491829279939874
NONE / MONSENHOR TABOSA,1.8333333333333333,1.5275252316519468,5,0.8331955809010619
NONE / MULUNGU,1.8333333333333333,1.1934162828797101,5,0.6509543361162056
NONE / SÃO LUÍS DO CURU,1.8,1.0141851056742197,4,0.5634361698190109
NONE / TAMBORIL,1.8,1.4735767952260146,6,0.8186537751255636
