bairro_up,mean_monthly,std_monthly,peak_monthly,cv
ZONA RURAL,2.5454545454545454,1.7529196424044293,6,0.6886470023731687
FLORES,2.0,0.0,2,0.0
CENTRO,1.5,0.7071067811865475,3,0.4714045207910316
 BOA ESPERANÇA ,1.0,0.0,1,0.0
02 DE AGOSTO,1.0,0.0,1,0.0
ALTO DOS 14,1.0,0.0,1,0.0
ALTO DOS PLANETAS,1.0,0.0,1,0.0
ALTO BRILHANTE,1.0,0.0,1,0.0
ALTO,1.0,0.0,1,0.0
BANGÜÊ I,1.0,0.0,1,0.0
BARBALHO,1.0,0.0,1,0.0
BARRA DO CEARÁ,1.0,0.0,1,0.0
BARRO BRANCO,1.0,0.0,1,0.0
BELA VISTA,1.0,0.0,1,0.0
BOM SUCESSO,1.0,0.0,1,0.0
BAILARINA,1.0,0.0,1,0.0
ALTO DO CRISTO,1.0,0.0,1,0.0
BURITI,1.0,0.0,1,0.0
CACIMBAS,1.0,0.0,1,0.0
CAMPINAS,1.0,0.0,1,0.0
CAIS DO PORTO,1.0,0.0,1,0.0
CAMPO VELHO,1.0,0.0,1,0.0
CAN,1.0,0.0,1,0.0
CARNAUBEIRA,1.0,0.0,1,0.0
CARNAÚBAS DOS LÚCIOS,1.0,0.0,1,0.0
CIDADADE NOVA,1.0,0.0,1,0.0
COCOBO,1.0,0.0,1,0.0
CONJUNTO NOVA ESPERANÇA,1.0,0.0,1,0.0
CONJUNTO SÃO DOMINGOS,1.0,0.0,1,0.0
CRISTO REDENTOR,1.0,0.0,1,0.0
CURIÓ,1.0,0.0,1,0.0
BRASÍLIA,1.0,0.0,1,0.0
BAIRRO DE FÁTIMA,1.0,0.0,1,0.0
EMPRÉSTIMO,1.0,0.0,1,0.0
DERT,1.0,0.0,1,0.0
GAMELEIRA,1.0,0.0,1,0.0
FRANSQUINHO FERREIRA,1.0,0.0,1,0.0
GUARANI,1.0,0.0,1,0.0
JARI,1.0,0.0,1,0.0
JEREISSATI 2,1.0,0.0,1,0.0
GRANJA LISBOA,1.0,0.0,1,0.0
JOÃO CABRAL,1.0,0.0,1,0.0
JOÃO PAULO 2,1.0,0.0,1,0.0
JUCURUTU ,1.0,0.0,1,0.0
LOGRADOURO,1.0,0.0,1,0.0
MACAPÁ,1.0,0.0,1,0.0
MAMOEIRO,1.0,0.0,1,0.0
MARECHAL RONDON,1.0,0.0,1,0.0
JOSÉ GERALDO DA CRUZ,1.0,0.0,1,0.0
MOCAMBO,1.0,0.0,1,0.0
MONSENHOR OTACILIO,1.0,0.0,1,0.0
NOVO MARANGUAPE,1.0,0.0,1,0.0
NOVO ORIENTE,1.0,0.0,1,0.0
PADRE LIMA,1.0,0.0,1,0.0
PADRE PALHANO,1.0,0.0,1,0.0
PADRE PAULO,1.0,0.0,1,0.0
PARQUE DOS CAJUEIROS,1.0,0.0,1,0.0
PARQUE SÃO JOSÉ,1.0,0.0,1,0.0
PAVUNA,1.0,0.0,1,0.0
PEDRA BRANCA,1.0,0.0,1,0.0
PEDREIRAS,1.0,0.0,1,0.0
PEIXE GORDO,1.0,0.0,1,0.0
PLANALTO,1.0,0.0,1,0.0
PLANALTO AYRTON SENNA,1.0,0.0,1,0.0
MEARIM 3,1.0,0.0,1,0.0
PLANALTO CAUCAIA,1.0,0.0,1,0.0
PONTA D’ÁGUA,1.0,0.0,1,0.0
PREFEITO JOSÉ WALTER,1.0,0.0,1,0.0
POPULARES,1.0,0.0,1,0.0
REDENÇÃO,1.0,0.0,1,0.0
RODAGEM,1.0,0.0,1,0.0
RODOLFO TEÓFILO,1.0,0.0,1,0.0
RECANTO I,1.0,0.0,1,0.0
SABIAGUABA,1.0,0.0,1,0.0
SALITRE,1.0,0.0,1,0.0
SANTA CASA,1.0,0.0,1,0.0
SANTA MARIA,1.0,0.0,1,0.0
SANTA TEREZA,1.0,0.0,1,0.0
SANTO EXPEDITO,1.0,0.0,1,0.0
SERROTA,1.0,0.0,1,0.0
RODOVIÁRIA,1.0,0.0,1,0.0
SERTÃOZINHO,1.0,0.0,1,0.0
SÃO FRANCISCO 2,1.0,0.0,1,0.0
SÍTIO CAPOEIRA,1.0,0.0,1,0.0
SÃO SEBASTIÃO,1.0,0.0,1,0.0
TIMBAÚBAS,1.0,0.0,1,0.0
TIMBÓ,1.0,0.0,1,0.0
TOCA,1.0,0.0,1,0.0
TABULEIRO DO CATAVENTO,1.0,0.0,1,0.0
TRIÂNGULO DE MARCO,1.0,0.0,1,0.0
VEREMOS,1.0,0.0,1,0.0
VILA JOSÉ MENDES,1.0,0.0,1,0.0
VICENTE PINZON,1.0,0.0,1,0.0
VILA MASCENA,1.0,0.0,1,0.0
YPIRANGA,1.0,0.0,1,0.0
"ZONA RURAL, SANTA TEREZINHA",1.0,0.0,1,0.0
ZONA URBANA,1.0,0.0,1,0.0
