bairro_cidade,month,cvli_monthly
 BOA ESPERANÇA  / PEDRA BRANCA,2025-08,1
02 DE AGOSTO / MORADA NOVA,2025-05,1
ALTO / JAGUARUANA,2025-10,1
ALTO BRILHANTE / TAUÁ,2025-04,1
ALTO DO CRISTO / SOBRAL,2025-07,1
ALTO DOS 14 / IPU,2025-05,1
ALTO DOS PLANETAS / ITAPIPOCA,2025-03,1
BAILARINA / ACARAÚ,2025-02,1
BAIRRO DE FÁTIMA / FORTALEZA,2025-05,1
BANGÜÊ I / PACAJUS,2025-06,1
BARBALHO / CASCAVEL,2025-12,1
BARRA DO CEARÁ / FORTALEZA,2025-03,1
BARRO BRANCO / CRATO,2025-02,1
BELA VISTA / CRATO,2025-09,1
BOM SUCESSO / FORTALEZA,2025-01,1
BRASÍLIA / BELA CRUZ,2025-02,1
BURITI / PACAJUS,2025-09,1
CACIMBAS / MOMBAÇA,2025-06,1
CAIS DO PORTO / FORTALEZA,2025-07,1
CAMPINAS / CANINDÉ,2025-10,1
CAMPO VELHO / QUIXADÁ,2025-04,1
CAN / CANINDÉ,2025-05,1
CARNAUBEIRA / AMONTADA,2025-07,1
CARNAÚBAS DOS LÚCIOS / IPUEIRAS,2025-09,1
CENTRO / AURORA,2025-06,1
CENTRO / BREJO SANTO,2025-10,1
CENTRO / CASCAVEL,2025-06,1
CENTRO / COREAÚ,2026-01,1
CENTRO / GUARACIABA DO NORTE,2025-03,1
CENTRO / HORIZONTE,2025-04,1
CENTRO / IPU,2025-06,1
CENTRO / IPUEIRAS,2025-11,1
CENTRO / MORRINHOS,2025-02,1
CENTRO / NOVO ORIENTE,2025-08,1
CENTRO / PARACURU,2025-02,1
CENTRO / PINDORETAMA,2025-09,1
CENTRO / PINDORETAMA,2025-11,1
CENTRO / SÃO GONÇALO DO AMARANTE,2025-01,1
CENTRO / TIANGUÁ,2025-01,1
CIDADADE NOVA / CARNAUBAL,2025-10,1
COCOBO / IGUATU,2025-02,1
CONJUNTO NOVA ESPERANÇA / PARACURU,2025-05,1
CONJUNTO SÃO DOMINGOS / CAUCAIA,2025-06,1
CRISTO REDENTOR / FORTALEZA,2025-05,1
CURIÓ / FORTALEZA,2025-10,1
DERT / QUIXADÁ,2025-02,1
EMPRÉSTIMO / VARJOTA,2025-12,1
FLORES / AMONTADA,2025-02,2
FRANSQUINHO FERREIRA / CAMOCIM,2025-09,1
GAMELEIRA / HORIZONTE,2025-05,1
GRANJA LISBOA / FORTALEZA,2025-05,1
GUARANI / CAMPOS SALES,2025-07,1
JARI / MARACANAÚ,2025-11,1
JEREISSATI 2 / PACATUBA,2025-01,1
JOSÉ GERALDO DA CRUZ / JUAZEIRO DO NORTE,2025-10,1
JOÃO CABRAL / JUAZEIRO DO NORTE,2025-10,1
JOÃO PAULO 2 / IGUATU,2025-06,1
JUCURUTU  / AQUIRAZ,2025-08,1
LOGRADOURO / JUAZEIRO DO NORTE,2025-10,1
MACAPÁ / BEBERIBE,2025-11,1
MAMOEIRO / FORTIM,2025-06,1
MARECHAL RONDON / CAUCAIA,2025-08,1
MEARIM 3 / BARREIRA,2025-03,1
MOCAMBO / MARCO,2025-09,1
MONSENHOR OTACILIO / SÃO BENEDITO,2025-02,1
NOVO MARANGUAPE / MARANGUAPE,2025-01,1
NOVO ORIENTE / MARACANAÚ,2025-08,1
PADRE LIMA / ITAPAJÉ,2025-02,1
PADRE PALHANO / SOBRAL,2025-02,1
PADRE PAULO / BOA VIAGEM,2025-04,1
PARQUE DOS CAJUEIROS / ICAPUÍ,2025-10,1
PARQUE SÃO JOSÉ / FORTALEZA,2025-09,1
PAVUNA / PACATUBA,2025-02,1
PAVUNA / PACATUBA,2025-11,1
PEDRA BRANCA / PACAJUS,2025-04,1
PEDREIRAS / PENTECOSTE,2025-07,1
PEIXE GORDO / ICAPUÍ,2025-09,1
PLANALTO / RUSSAS,2025-09,1
PLANALTO AYRTON SENNA / FORTALEZA,2025-11,1
PLANALTO CAUCAIA / CAUCAIA,2026-01,1
PONTA D’ÁGUA / BEBERIBE,2025-06,1
POPULARES / JARDIM,2025-11,1
PREFEITO JOSÉ WALTER / FORTALEZA,2025-12,1
RECANTO I / SOBRAL,2025-11,1
REDENÇÃO / JARDIM,2025-02,1
RODAGEM / MASSAPÊ,2025-04,1
RODOLFO TEÓFILO / FORTALEZA,2025-07,1
RODOVIÁRIA / TIANGUÁ,2026-01,1
SABIAGUABA / FORTALEZA,2025-08,1
SALITRE / CANINDÉ,2025-07,1
SANTA CASA / SOBRAL,2025-05,1
SANTA MARIA / PEDRA BRANCA,2025-07,1
SANTA TEREZA / TAUÁ,2025-06,1
SANTO EXPEDITO / TIANGUÁ,2025-11,1
SERROTA / PENTECOSTE,2025-10,1
SERTÃOZINHO / ITAPIPOCA,2025-01,1
SÃO FRANCISCO 2 / ITAPAJÉ,2025-11,1
SÃO SEBASTIÃO / UBAJARA,2025-05,1
SÍTIO CAPOEIRA / CHOROZINHO,2025-05,1
TABULEIRO DO CATAVENTO / RUSSAS,2025-06,1
TIMBAÚBAS / JUAZEIRO DO NORTE,2025-08,1
TIMBÓ / MARACANAÚ,2025-11,1
TOCA / SÃO BENEDITO,2025-09,1
TRIÂNGULO DE MARCO / MARCO,2026-01,1
VEREMOS / CRATEÚS,2025-08,1
VICENTE PINZON / FORTALEZA,2025-04,1
VILA JOSÉ MENDES / TABULEIRO DO NORTE,2025-06,1
VILA MASCENA / TABULEIRO DO NORTE,2025-03,1
YPIRANGA / SÃO BENEDITO,2025-06,1
ZONA RURAL / ACARAÚ,2025-02,1
ZONA RURAL / ARACATI,2025-01,1
ZONA RURAL / ARACATI,2025-11,1
ZONA RURAL / CANINDÉ,2025-04,1
ZONA RURAL / CEDRO,2025-12,1
ZONA RURAL / IBIAPINA,2025-03,1
ZONA RURAL / IBIAPINA,2025-05,1
ZONA RURAL / IBIAPINA,2025-06,1
ZONA RURAL / IPUEIRAS,2025-06,1
ZONA RURAL / ITAREMA,2025-04,1
ZONA RURAL / JIJOCA DE JERICOACOARA,2025-08,1
ZONA RURAL / JUAZEIRO DO NORTE,2025-10,1
ZONA RURAL / MARCO,2025-03,1
ZONA RURAL / MARCO,2025-09,1
ZONA RURAL / MORADA NOVA,2025-10,2
ZONA RURAL / MORADA NOVA,2025-12,1
ZONA RURAL / NOVO ORIENTE,2025-09,1
ZONA RURAL / PARAIPABA,2025-11,1
ZONA RURAL / TABULEIRO DO NORTE,2025-04,1
ZONA RURAL / TAMBORIL,2025-11,1
ZONA RURAL / TIANGUÁ,2025-10,1
ZONA RURAL / TRAIRI,2025-04,1
ZONA RURAL / UBAJARA,2025-03,1
ZONA RURAL / VARJOTA,2025-11,1
ZONA RURAL / VIÇOSA DO CEARÁ,2025-04,2
ZONA RURAL / VIÇOSA DO CEARÁ,2025-10,1
"ZONA RURAL, SANTA TEREZINHA / GRANJA",2025-02,1
ZONA URBANA / JAGUARIBE,2025-10,1
