bairro_cidade,month,cvli_monthly
NONE / ABAIARA,2022-07,1
NONE / ABAIARA,2022-12,1
NONE / ABAIARA,2023-01,1
NONE / ABAIARA,2024-01,1
NONE / ABAIARA,2024-12,1
NONE / ACARAPE,2022-05,1
NONE / ACARAPE,2022-08,1
NONE / ACARAPE,2022-10,1
NONE / ACARAPE,2022-11,1
NONE / ACARAPE,2023-02,2
NONE / ACARAPE,2023-11,1
NONE / ACARAPE,2024-03,1
NONE / ACARAPE,2024-07,1
NONE / ACARAPE,2024-10,2
NONE / ACARAPE,2024-11,2
NONE / ACARAPE,2025-03,1
NONE / ACARAPE,2025-05,2
NONE / ACARAPE,2025-08,1
NONE / ACARAÚ,2022-02,3
NONE / ACARAÚ,2022-03,1
NONE / ACARAÚ,2022-04,3
NONE / ACARAÚ,2022-05,1
NONE / ACARAÚ,2022-07,1
NONE / ACARAÚ,2022-08,4
NONE / ACARAÚ,2022-09,1
NONE / ACARAÚ,2022-11,2
NONE / ACARAÚ,2022-12,1
NONE / ACARAÚ,2023-01,2
NONE / ACARAÚ,2023-06,2
NONE / ACARAÚ,2023-08,1
NONE / ACARAÚ,2023-10,2
NONE / ACARAÚ,2023-11,2
NONE / ACARAÚ,2023-12,3
NONE / ACARAÚ,2024-02,3
NONE / ACARAÚ,2024-04,1
NONE / ACARAÚ,2024-05,1
NONE / ACARAÚ,2024-07,1
NONE / ACARAÚ,2024-09,2
NONE / ACARAÚ,2024-10,1
NONE / ACARAÚ,2024-11,1
NONE / ACARAÚ,2025-03,1
NONE / ACARAÚ,2025-04,2
NONE / ACARAÚ,2025-06,1
NONE / ACARAÚ,2025-07,1
NONE / ACARAÚ,2025-11,2
NONE / ACOPIARA,2022-04,1
NONE / ACOPIARA,2022-05,2
NONE / ACOPIARA,2022-06,1
NONE / ACOPIARA,2022-07,1
NONE / ACOPIARA,2022-09,2
NONE / ACOPIARA,2022-10,2
NONE / ACOPIARA,2022-11,1
NONE / ACOPIARA,2023-03,1
NONE / ACOPIARA,2023-04,2
NONE / ACOPIARA,2023-07,1
NONE / ACOPIARA,2023-08,1
NONE / ACOPIARA,2023-09,1
NONE / ACOPIARA,2023-11,1
NONE / ACOPIARA,2023-12,1
NONE / ACOPIARA,2024-02,1
NONE / ACOPIARA,2024-04,3
NONE / ACOPIARA,2024-05,2
NONE / ACOPIARA,2024-06,1
NONE / ACOPIARA,2024-07,1
NONE / ACOPIARA,2024-08,1
NONE / ACOPIARA,2024-09,3
NONE / ACOPIARA,2024-10,2
NONE / ACOPIARA,2024-11,2
NONE / ACOPIARA,2024-12,1
NONE / ACOPIARA,2025-01,1
NONE / ACOPIARA,2025-03,1
NONE / ACOPIARA,2025-06,1
NONE / ACOPIARA,2025-08,1
NONE / ACOPIARA,2025-09,1
NONE / ACOPIARA,2025-10,1
NONE / ACOPIARA,2025-11,1
NONE / AIUABA,2022-01,1
NONE / AIUABA,2023-02,1
NONE / AIUABA,2023-03,1
NONE / AIUABA,2023-06,1
NONE / AIUABA,2024-03,1
NONE / AIUABA,2025-06,1
NONE / ALCÂNTARAS,2022-10,1
NONE / ALCÂNTARAS,2023-07,1
NONE / ALCÂNTARAS,2023-12,1
NONE / ALTANEIRA,2022-06,1
NONE / ALTANEIRA,2022-07,1
NONE / ALTANEIRA,2023-11,1
NONE / ALTANEIRA,2024-02,1
NONE / ALTANEIRA,2024-04,1
NONE / ALTANEIRA,2025-05,1
NONE / ALTANEIRA,2025-08,1
NONE / ALTANEIRA,2026-01,1
NONE / ALTO SANTO,2022-01,2
NONE / ALTO SANTO,2022-04,1
NONE / ALTO SANTO,2022-05,2
NONE / ALTO SANTO,2022-06,3
NONE / ALTO SANTO,2022-08,1
NONE / ALTO SANTO,2022-11,5
NONE / ALTO SANTO,2022-12,1
NONE / ALTO SANTO,2023-01,2
NONE / ALTO SANTO,2023-02,2
NONE / ALTO SANTO,2023-06,1
NONE / ALTO SANTO,2023-07,1
NONE / ALTO SANTO,2023-08,1
NONE / ALTO SANTO,2023-09,1
NONE / ALTO SANTO,2023-10,2
NONE / ALTO SANTO,2023-11,2
NONE / ALTO SANTO,2024-01,3
NONE / ALTO SANTO,2024-04,2
NONE / ALTO SANTO,2024-08,2
NONE / ALTO SANTO,2024-09,1
NONE / ALTO SANTO,2024-10,1
NONE / ALTO SANTO,2024-11,1
NONE / ALTO SANTO,2025-05,1
NONE / ALTO SANTO,2025-07,1
NONE / ALTO SANTO,2025-08,1
NONE / AMONTADA,2022-01,1
NONE / AMONTADA,2022-03,3
NONE / AMONTADA,2022-06,2
NONE / AMONTADA,2022-08,2
NONE / AMONTADA,2022-09,1
NONE / AMONTADA,2022-10,1
NONE / AMONTADA,2022-11,1
NONE / AMONTADA,2023-01,3
NONE / AMONTADA,2023-04,7
NONE / AMONTADA,2023-05,4
NONE / AMONTADA,2023-06,2
NONE / AMONTADA,2023-07,1
NONE / AMONTADA,2023-08,2
NONE / AMONTADA,2023-09,3
NONE / AMONTADA,2023-10,6
NONE / AMONTADA,2023-11,1
NONE / AMONTADA,2023-12,4
NONE / AMONTADA,2024-01,5
NONE / AMONTADA,2024-02,4
NONE / AMONTADA,2024-03,1
NONE / AMONTADA,2024-04,3
NONE / AMONTADA,2024-05,7
NONE / AMONTADA,2024-06,2
NONE / AMONTADA,2024-07,4
NONE / AMONTADA,2024-08,4
NONE / AMONTADA,2024-09,4
NONE / AMONTADA,2024-10,5
NONE / AMONTADA,2024-11,4
NONE / AMONTADA,2024-12,1
NONE / AMONTADA,2025-01,5
NONE / AMONTADA,2025-02,2
NONE / AMONTADA,2025-03,4
NONE / AMONTADA,2025-05,2
NONE / AMONTADA,2025-06,2
NONE / AMONTADA,2025-07,2
NONE / AMONTADA,2025-08,11
NONE / AMONTADA,2025-09,5
NONE / AMONTADA,2025-10,3
NONE / AMONTADA,2025-11,4
NONE / AMONTADA,2025-12,2
NONE / ANTONINA DO NORTE,2024-03,1
NONE / ANTONINA DO NORTE,2024-08,1
NONE / ANTONINA DO NORTE,2024-09,2
NONE / APUIARÉS,2022-01,1
NONE / APUIARÉS,2022-02,2
NONE / APUIARÉS,2022-05,1
NONE / APUIARÉS,2023-02,1
NONE / APUIARÉS,2023-03,1
NONE / APUIARÉS,2023-04,1
NONE / APUIARÉS,2023-06,1
NONE / APUIARÉS,2023-07,1
NONE / APUIARÉS,2023-08,1
NONE / APUIARÉS,2023-12,1
NONE / APUIARÉS,2024-05,1
NONE / APUIARÉS,2025-01,3
NONE / APUIARÉS,2025-02,3
NONE / APUIARÉS,2025-09,1
NONE / APUIARÉS,2025-12,1
NONE / AQUIRAZ,2022-01,2
NONE / AQUIRAZ,2022-02,8
NONE / AQUIRAZ,2022-03,12
NONE / AQUIRAZ,2022-04,4
NONE / AQUIRAZ,2022-05,6
NONE / AQUIRAZ,2022-06,5
NONE / AQUIRAZ,2022-07,7
NONE / AQUIRAZ,2022-08,4
NONE / AQUIRAZ,2022-09,5
NONE / AQUIRAZ,2022-10,8
NONE / AQUIRAZ,2022-11,8
NONE / AQUIRAZ,2022-12,2
NONE / AQUIRAZ,2023-01,6
NONE / AQUIRAZ,2023-02,2
NONE / AQUIRAZ,2023-03,5
NONE / AQUIRAZ,2023-04,6
NONE / AQUIRAZ,2023-05,4
NONE / AQUIRAZ,2023-07,1
NONE / AQUIRAZ,2023-08,2
NONE / AQUIRAZ,2023-09,1
NONE / AQUIRAZ,2023-11,3
NONE / AQUIRAZ,2023-12,2
NONE / AQUIRAZ,2024-01,3
NONE / AQUIRAZ,2024-02,2
NONE / AQUIRAZ,2024-03,7
NONE / AQUIRAZ,2024-04,4
NONE / AQUIRAZ,2024-05,2
NONE / AQUIRAZ,2024-06,2
NONE / AQUIRAZ,2024-07,3
NONE / AQUIRAZ,2024-08,2
NONE / AQUIRAZ,2024-09,1
NONE / AQUIRAZ,2024-11,3
NONE / AQUIRAZ,2024-12,3
NONE / AQUIRAZ,2025-01,2
NONE / AQUIRAZ,2025-03,1
NONE / AQUIRAZ,2025-04,2
NONE / AQUIRAZ,2025-05,3
NONE / AQUIRAZ,2025-06,4
