bairro_up,month,cvli_monthly
 BOA ESPERANÇA ,2025-08,1
02 DE AGOSTO,2025-05,1
ALTO,2025-10,1
ALTO BRILHANTE,2025-04,1
ALTO DO CRISTO,2025-07,1
ALTO DOS 14,2025-05,1
ALTO DOS PLANETAS,2025-03,1
BAILARINA,2025-02,1
BAIRRO DE FÁTIMA,2025-05,1
BANGÜÊ I,2025-06,1
BARBALHO,2025-12,1
BARRA DO CEARÁ,2025-03,1
BARRO BRANCO,2025-02,1
BELA VISTA,2025-09,1
BOM SUCESSO,2025-01,1
BRASÍLIA,2025-02,1
BURITI,2025-09,1
CACIMBAS,2025-06,1
CAIS DO PORTO,2025-07,1
CAMPINAS,2025-10,1
CAMPO VELHO,2025-04,1
CAN,2025-05,1
CARNAUBEIRA,2025-07,1
CARNAÚBAS DOS LÚCIOS,2025-09,1
CENTRO,2025-01,2
CENTRO,2025-02,2
CENTRO,2025-03,1
CENTRO,2025-04,1
CENTRO,2025-06,3
CENTRO,2025-08,1
CENTRO,2025-09,1
CENTRO,2025-10,1
CENTRO,2025-11,2
CENTRO,2026-01,1
CIDADADE NOVA,2025-10,1
COCOBO,2025-02,1
CONJUNTO NOVA ESPERANÇA,2025-05,1
CONJUNTO SÃO DOMINGOS,2025-06,1
CRISTO REDENTOR,2025-05,1
CURIÓ,2025-10,1
DERT,2025-02,1
EMPRÉSTIMO,2025-12,1
FLORES,2025-02,2
FRANSQUINHO FERREIRA,2025-09,1
GAMELEIRA,2025-05,1
GRANJA LISBOA,2025-05,1
GUARANI,2025-07,1
JARI,2025-11,1
JEREISSATI 2,2025-01,1
JOSÉ GERALDO DA CRUZ,2025-10,1
JOÃO CABRAL,2025-10,1
JOÃO PAULO 2,2025-06,1
JUCURUTU ,2025-08,1
LOGRADOURO,2025-10,1
MACAPÁ,2025-11,1
MAMOEIRO,2025-06,1
MARECHAL RONDON,2025-08,1
MEARIM 3,2025-03,1
MOCAMBO,2025-09,1
MONSENHOR OTACILIO,2025-02,1
NOVO MARANGUAPE,2025-01,1
NOVO ORIENTE,2025-08,1
PADRE LIMA,2025-02,1
PADRE PALHANO,2025-02,1
PADRE PAULO,2025-04,1
PARQUE DOS CAJUEIROS,2025-10,1
PARQUE SÃO JOSÉ,2025-09,1
PAVUNA,2025-02,1
PAVUNA,2025-11,1
PEDRA BRANCA,2025-04,1
PEDREIRAS,2025-07,1
PEIXE GORDO,2025-09,1
PLANALTO,2025-09,1
PLANALTO AYRTON SENNA,2025-11,1
PLANALTO CAUCAIA,2026-01,1
PONTA D’ÁGUA,2025-06,1
POPULARES,2025-11,1
PREFEITO JOSÉ WALTER,2025-12,1
RECANTO I,2025-11,1
REDENÇÃO,2025-02,1
RODAGEM,2025-04,1
RODOLFO TEÓFILO,2025-07,1
RODOVIÁRIA,2026-01,1
SABIAGUABA,2025-08,1
SALITRE,2025-07,1
SANTA CASA,2025-05,1
SANTA MARIA,2025-07,1
SANTA TEREZA,2025-06,1
SANTO EXPEDITO,2025-11,1
SERROTA,2025-10,1
SERTÃOZINHO,2025-01,1
SÃO FRANCISCO 2,2025-11,1
SÃO SEBASTIÃO,2025-05,1
SÍTIO CAPOEIRA,2025-05,1
TABULEIRO DO CATAVENTO,2025-06,1
TIMBAÚBAS,2025-08,1
TIMBÓ,2025-11,1
TOCA,2025-09,1
TRIÂNGULO DE MARCO,2026-01,1
VEREMOS,2025-08,1
VICENTE PINZON,2025-04,1
VILA JOSÉ MENDES,2025-06,1
VILA MASCENA,2025-03,1
YPIRANGA,2025-06,1
ZONA RURAL,2025-01,1
ZONA RURAL,2025-02,1
ZONA RURAL,2025-03,3
ZONA RURAL,2025-04,6
ZONA RURAL,2025-05,1
ZONA RURAL,2025-06,2
ZONA RURAL,2025-08,1
ZONA RURAL,2025-09,2
ZONA RURAL,2025-10,5
ZONA RURAL,2025-11,4
ZONA RURAL,2025-12,2
"ZONA RURAL, SANTA TEREZINHA",2025-02,1
ZONA URBANA,2025-10,1
