month,cvli_monthly_total
2022-01,251
2022-02,276
2022-03,227
2022-04,244
2022-05,269
2022-06,214
2022-07,257
2022-08,250
2022-09,250
2022-10,249
2022-11,235
2022-12,248
2023-01,252
2023-02,251
2023-03,227
2023-04,217
2023-05,229
2023-06,211
2023-07,242
2023-08,255
2023-09,240
2023-10,293
2023-11,287
2023-12,266
2024-01,284
2024-02,257
2024-03,278
2024-04,320
2024-05,316
2024-06,259
2024-07,246
2024-08,254
2024-09,231
2024-10,268
2024-11,270
2024-12,289
2025-01,269
2025-02,206
2025-03,255
2025-04,202
2025-05,267
2025-06,231
2025-07,261
2025-08,283
2025-09,269
2025-10,298
2025-11,263
2025-12,241
2026-01,82
