cidade,bairro,latest_month,latest_count,prev_month_count,month_pct_change,yoy_count_same_month,yoy_pct_change,last_year_total,prev_year_total,year_pct_change,weekday_shift,hour_shift,total_events
ABAIARA,,2024-12,1,0,,,,2,1,1.0,Domingo:+0.500,20:+0.500,5
ACARAPE,,2025-08,1,0,,,,4,6,-0.3333333333333333,Terça-feira:+0.114,3:+0.100,17
ACARAÚ,,2025-11,2,0,,1,1.0,7,10,-0.3,Quarta-feira:+0.108,10:+0.201,46
ACOPIARA,,2025-11,1,1,0.0,2,-0.5,7,17,-0.5882352941176471,Quarta-feira:+0.083,1:+0.125,42
AIUABA,,2025-06,1,0,,,,1,1,0.0,Segunda-feira:+0.250,2:+0.500,6
ALCÂNTARAS,,2023-12,1,0,,,,2,1,1.0,,,3
ALTANEIRA,,2026-01,1,0,,,,1,2,-0.5,Domingo:+0.400,2:+0.200,8
ALTO SANTO,,2025-08,1,1,0.0,2,-0.5,3,10,-0.7,Terça-feira:+0.085,5:+0.231,40
AMONTADA,,2025-12,2,4,-0.5,1,1.0,42,44,-0.045454545454545456,Quinta-feira:+0.153,17:+0.082,130
ANTONINA DO NORTE,,2024-09,2,1,1.0,,,4,0,,,,4
APUIARÉS,,2025-12,1,0,,,,8,1,7.0,Domingo:+0.242,12:+0.222,20
AQUIRAZ,,2025-11,3,4,-0.25,3,0.0,23,32,-0.28125,Terça-feira:+0.222,15:+0.108,158
ARACATI,,2026-01,2,0,,5,-0.6,2,17,-0.8823529411764706,Quarta-feira:+0.092,7:+0.083,90
ARACOIABA,,2025-05,1,2,-0.5,1,0.0,4,9,-0.5555555555555556,Segunda-feira:+0.231,20:+0.308,39
ARARENDÁ,,2025-08,1,0,,,,1,0,,Terça-feira:+0.750,4:+1.000,5
ARARIPE,,2025-10,1,0,,,,1,4,-0.75,Terça-feira:+0.200,17:+0.200,8
ARATUBA,,2025-12,2,2,0.0,1,1.0,15,8,0.875,Quinta-feira:+0.134,6:+0.087,35
ARNEIROZ,,2025-08,1,0,,,,1,0,,Segunda-feira:+1.000,12:+1.000,2
ASSARÉ,,2026-01,1,0,,2,-0.5,1,2,-0.5,Sexta-feira:+0.105,19:+0.273,24
AURORA,,2025-09,3,0,,,,3,1,2.0,Segunda-feira:+1.000,17:+0.250,8
BANABUIÚ,,2025-11,2,0,,3,-0.3333333333333333,5,10,-0.5,Quinta-feira:+0.200,4:+0.200,24
BARBALHA,,2025-12,1,3,-0.6666666666666666,2,-0.5,19,17,0.11764705882352941,Segunda-feira:+0.135,21:+0.083,59
BARREIRA,,2025-10,1,0,,,,5,0,,Domingo:+0.267,15:+0.200,20
BARRO,,2025-08,1,0,,,,2,3,-0.3333333333333333,Quarta-feira:+0.200,11:+0.400,9
BARROQUINHA,,2025-10,1,0,,1,0.0,2,4,-0.5,Terça-feira:+0.333,14:+0.333,17
BATURITÉ,,2025-12,1,0,,2,-0.5,14,18,-0.2222222222222222,Quinta-feira:+0.138,19:+0.125,52
BEBERIBE,,2026-01,1,0,,4,-0.75,1,16,-0.9375,Sábado:+0.119,19:+0.054,70
BELA CRUZ,,2025-09,1,0,,1,0.0,7,5,0.4,Quinta-feira:+0.333,23:+0.250,20
BOA VIAGEM,,2026-01,1,2,-0.5,2,-0.5,1,24,-0.9583333333333334,Domingo:+0.138,21:+0.077,109
BREJO SANTO,,2025-12,2,0,,,,4,8,-0.5,Quarta-feira:+0.333,10:+0.167,27
CAMOCIM,,2025-10,1,2,-0.5,2,-0.5,7,17,-0.5882352941176471,Segunda-feira:+0.214,13:+0.190,80
CAMPOS SALES,,2025-12,1,0,,1,0.0,8,8,0.0,Segunda-feira:+0.125,14:+0.125,25
CANINDÉ,,2026-01,1,1,0.0,4,-0.75,1,39,-0.9743589743589743,Sexta-feira:+0.141,7:+0.058,99
CAPISTRANO,,2025-10,1,1,0.0,,,8,3,1.6666666666666667,Quarta-feira:+0.155,7:+0.273,28
CARIDADE,,2025-09,1,1,0.0,,,6,6,0.0,Sábado:+0.250,19:+0.250,24
CARIRIAÇU,,2024-09,1,0,,,,9,3,2.0,Sexta-feira:+0.244,5:+0.111,14
CARIRÉ,,2026-01,1,0,,,,1,24,-0.9583333333333334,Terça-feira:+0.105,4:+0.132,48
CARIÚS,,2025-07,1,1,0.0,,,2,4,-0.5,Domingo:+0.167,0:+0.167,12
CARNAUBAL,,2025-08,1,0,,,,1,6,-0.8333333333333334,Terça-feira:+0.143,1:+0.571,13
CASCAVEL,,2026-01,2,6,-0.6666666666666666,2,0.0,2,34,-0.9411764705882353,Quarta-feira:+0.097,20:+0.069,180
CATARINA,,2025-08,1,0,,,,2,2,0.0,Quinta-feira:+0.250,15:+0.250,8
CATUNDA,,2025-12,1,0,,,,1,2,-0.5,Quinta-feira:+0.333,19:+0.333,6
CAUCAIA,,2026-01,8,20,-0.6,16,-0.5,8,246,-0.967479674796748,Terça-feira:+0.031,20:+0.038,918
CEDRO,,2025-03,1,0,,,,1,14,-0.9285714285714286,Sexta-feira:+0.217,13:+0.133,35
CHAVAL,,2025-12,1,0,,,,3,4,-0.25,Quinta-feira:+0.214,8:+0.143,21
CHOROZINHO,,2026-01,1,1,0.0,,,1,4,-0.75,Quarta-feira:+0.190,7:+0.202,33
CHORÓ,,2025-12,2,1,1.0,,,9,2,3.5,Terça-feira:+0.255,22:+0.139,26
COREAÚ,,2026-01,2,0,,,,2,4,-0.5,Domingo:+0.230,3:+0.230,25
CRATEÚS,,2026-01,1,2,-0.5,2,-0.5,1,14,-0.9285714285714286,Domingo:+0.107,22:+0.064,71
CRATO,,2026-01,2,6,-0.6666666666666666,7,-0.7142857142857143,2,41,-0.9512195121951219,Sábado:+0.078,1:+0.072,164
CROATÁ,,2025-09,1,0,,1,0.0,1,1,0.0,Segunda-feira:+0.500,5:+0.500,9
CRUZ,,2025-12,1,0,,1,0.0,1,14,-0.9285714285714286,Quinta-feira:+0.204,2:+0.133,31
DEPUTADO IRAPUAN PINHEIRO,,2026-01,1,0,,,,1,0,,Domingo:+0.500,13:+0.500,5
ERERÉ,,2023-07,1,0,,,,1,0,,,,1
EUSÉBIO,,2026-01,1,1,0.0,3,-0.6666666666666666,1,20,-0.95,Sábado:+0.187,23:+0.098,72
FARIAS BRITO,,2025-09,2,0,,,,5,1,4.0,Sábado:+0.667,19:+0.357,13
FORQUILHA,,2025-12,1,1,0.0,1,0.0,13,25,-0.48,Quarta-feira:+0.129,2:+0.113,92
FORTALEZA,,2025-10,2,0,,,,2,1,1.0,,,3
FORTALEZA,AEROLÂNDIA,2025-12,1,0,,1,0.0,1,5,-0.8,Terça-feira:+0.267,7:+0.167,21
FORTALEZA,AEROPORTO,2025-10,1,0,,,,1,0,,Terça-feira:+0.923,17:+0.923,14
FORTALEZA,ALDEOTA,2025-09,1,0,,,,4,4,0.0,Segunda-feira:+0.375,20:+0.250,12
FORTALEZA,ALTO DA BALANÇA,2024-12,1,0,,,,3,6,-0.5,Quarta-feira:+0.485,1:+0.333,14
FORTALEZA,AMADEU FURTADO,2025-10,2,0,,,,2,4,-0.5,Domingo:+0.500,4:+0.333,8
FORTALEZA,ANCURI,2025-10,2,0,,,,5,3,0.6666666666666666,Quarta-feira:+0.375,10:+0.250,13
FORTALEZA,ANTÔNIO BEZERRA,2025-11,2,2,0.0,1,1.0,5,12,-0.5833333333333334,Domingo:+0.214,14:+0.118,42
FORTALEZA,ARACAPÉ,2025-12,1,0,,2,-0.5,5,8,-0.375,Sábado:+0.308,3:+0.154,22
FORTALEZA,AUTRAN NUNES,2024-12,1,0,,,,4,2,1.0,Sábado:+0.357,7:+0.250,11
