cidade,bairro,consistency,total_cvli
São Gonçalo do Amarante,Zona Rural,1.0,9
Fortaleza,Jose Walter,1.0,9
Fortaleza,Pedras,1.0,9
Fortaleza,Barroso I,1.0,9
Fortaleza,Ellery,1.0,9
Maracanaú,Alto Alegre 1,1.0,7
Juazeiro do Norte,Aeroporto,1.0,8
Pacajus,Zona Rural,1.0,10
Crateús,São Vicente,1.0,10
Maracanaú,Centro,1.0,8
Crateús,Cidade Nova,0.9032258064516129,9
Tianguá,Rodoviária,0.8926487864917799,7
Baturité,Mucunã,0.8926487864917799,7
Iguatu,Cocobo,0.8926487864917799,7
Baturité,Zona Rural,0.8691233622655778,10
Pacatuba,Alto São João,0.8691233622655778,10
Caucaia,Parque das Nações,0.8636363636363636,9
Cascavel,Jardim Primavera,0.8573549426310134,8
Maracanaú,Jereissati II,0.8573549426310134,8
Itapipoca,Zona Rural,0.8573549426310134,8
Caucaia,Vila Nova,0.8573549426310134,8
Fortaleza,Parque Dois Irmãos,0.8573549426310134,8
Sobral,Padre Ibiapina,0.8573549426310134,8
Tianguá,Dom Timóteo,0.8573549426310134,8
Jaguaribe,Centro,0.8573549426310134,8
Brejo Santo,Capilé,0.850062983183629,7
Fortaleza,Itapery,0.850062983183629,7
Caucaia,Cigana,0.850062983183629,7
Iguatu,Areias,0.850062983183629,7
São Benedito,Chora,0.850062983183629,7
Marco,Centro,0.841451738305636,6
Paraipaba,Lagoinha,0.8391703283402163,11
Baturité,Conjunto São Francisco,0.8371624870700007,6
Fortaleza,Presidente Vargas,0.8335560704687827,8
Aracati,Centro,0.8304300544051779,9
Paraipaba,Centro,0.8210750659097638,9
Maracanaú,Alto da Mangueira,0.8196066342721564,8
Caucaia,Metrópole,0.8187907002278806,7
Maracanaú,Alto Alegre,0.8173004339471642,13
Aquiraz,Centro,0.8152081482721424,17
Juazeiro do Norte,Tiradentes,0.8129649494830914,7
Beberibe,Zona Rural,0.8107787326634542,20
Iguatu,Zona Rural,0.8089379577690462,16
Fortaleza,Rodolfo Teófilo,0.8081144664435364,14
Marco,Zona Rural,0.8077851798320248,17
Crato,Barro Branco,0.8012680693673292,11
Quixadá,Centro,0.7992513625853498,26
Juazeiro do Norte,Triângulo,0.7956167311034008,15
Aracati,Nossa Senhora de Lourdes,0.7917237500557887,5
Fortaleza,José Walter,0.7896882395853209,59
Camocim,São Pedro,0.7891360293334518,12
Viçosa do Ceará,Zona Rural,0.7873825267963698,41
Cascavel,Zona Rural,0.7873327059693799,8
Fortaleza,São Gerardo,0.7864511229482212,18
Brejo Santo,Morro Dourado,0.7864297463333508,14
Jardim,Centro,0.7857063791819522,13
Jaguaruana,Centro,0.7857063791819522,13
Baturité,Centro,0.7854156395001746,17
Brejo Santo,Renê Lucena,0.7835403426959998,13
Juazeiro do Norte,Centro,0.7835403426959998,13
Russas,Centro,0.7830400183298363,21
Granja,Centro,0.782524142971207,21
Crato,Vila Alta,0.7817789621131779,12
Crato,Pinto Madeira,0.7817789621131779,12
Fortaleza,Granja Lisboa,0.7804097608514348,54
Fortaleza,Conjunto Ceará,0.7800033458675549,25
Barbalha,Zona Rural,0.7795187907884576,12
Fortaleza,Parangaba,0.7790644848157418,19
Fortaleza,São Cristóvão,0.7787284759282052,11
Fortaleza,Vila União,0.7767112228661965,11
Iguatu,Paraná,0.7767112228661965,11
Santa Quitéria,Zona Rural,0.7767112228661965,11
Quixadá,Zona Rural,0.7740521895302281,10
Tianguá,Aeroporto,0.7731226121671237,11
Tianguá,Ceasa,0.7731226121671237,11
Baturité,Manga,0.7731226121671237,11
Maracanaú,Alto Alegre I,0.7731226121671237,11
Itapipoca,Maranhão,0.7731226121671237,11
Crateús,Fátima II,0.7731226121671237,11
Caucaia,Toco,0.7731226121671237,11
Acaraú,Centro,0.7726021558998949,10
Fortaleza,Bom Jardim,0.7720255324946566,112
Fortaleza,Cidade dos Funcionários,0.7708925435992244,11
Fortaleza,Passaré,0.7704250615458228,28
Maranguape,Centro,0.7703315154878356,9
Caucaia,Padre Júlio Maria,0.770248046462765,9
Tauá,Bezerra e Sousa,0.770248046462765,9
Pentecoste,Santa Inês,0.7692307692307692,10
Camocim,Jardim das Oliveiras,0.7692307692307692,10
Barbalha,Centro,0.7692307692307692,10
Fortaleza,Barra do Ceará,0.7686458612922935,68
Tauá,Zona Rural,0.7680908499255585,14
Russas,Flores,0.7678300237654604,10
Itapajé,Esmerino Gomes,0.7678300237654604,10
Guaraciaba Do Norte,Zona Rural,0.7678300237654604,10
Fortaleza,Jangurussu,0.7676764174973442,59
Crateús,Venâncios,0.7674327549456742,10
Juazeiro do Norte,Pio XII,0.7674327549456742,10
Aracoiaba,Zona Rural,0.7674327549456742,10
Juazeiro do Norte,João Cabral,0.7674125208301067,16
Fortaleza,Padre Andrade,0.7673230245203468,12
Fortaleza,Cristo Redentor,0.7663055887354883,20
