cidade,n_periodos,corr_pearson,corr_spearman,p_value,cvli_trend,pris_trend,cvli_media,pris_media
JARDIM,6,0.972,0.664,0.0011,0.0,0.0,1.17,4.33
IPUEIRAS,5,0.663,0.725,0.2222,0.0,-0.167,1.2,5.4
REDENCAO,5,0.593,0.625,0.292,-0.5,0.0,1.6,3.0
OCARA,9,0.556,0.526,0.1201,0.0,6.0,1.22,4.0
MARCO,14,0.534,0.497,0.0493,0.0,0.0,1.36,5.43
TAMBORIL,15,0.53,0.419,0.0419,-0.5,-0.333,1.8,5.33
PORANGA,8,0.518,0.412,0.188,-0.5,-0.667,1.25,1.38
JAGUARUANA,11,0.51,0.442,0.1088,-0.667,-0.818,1.55,6.27
SANTA QUITERIA,17,0.488,0.535,0.047,2.0,1.5,1.59,3.24
IBIAPINA,14,0.458,0.384,0.0998,0.0,0.0,1.07,5.43
URUBURETAMA,12,0.447,-0.038,0.1449,1.0,-0.6,1.83,2.67
NOVO ORIENTE,15,0.426,0.217,0.1137,0.0,0.0,1.67,5.53
AURORA,5,0.408,0.408,0.495,2.0,0.667,1.4,4.2
QUIXERE,16,0.398,0.317,0.1264,-0.667,0.0,1.5,1.44
MADALENA,10,0.398,0.246,0.2547,-0.75,-0.5,1.7,1.2
GROAIRAS,11,0.383,0.378,0.2445,0.0,0.0,1.91,1.18
VARZEA ALEGRE,8,0.364,0.449,0.3758,-0.5,-0.143,1.25,5.25
MISSAO VELHA,24,0.361,0.326,0.0829,0.0,0.0,1.17,4.08
MOMBACA,17,0.343,0.352,0.1773,0.0,2.0,1.18,3.59
BOA VIAGEM,40,0.34,0.244,0.0317,-0.5,0.0,2.42,6.25
NOVA RUSSAS,12,0.274,0.291,0.3891,0.0,0.0,1.17,5.0
ITAREMA,41,0.244,0.146,0.1249,0.5,-0.667,3.27,5.32
IPU,7,0.211,0.208,0.6504,0.0,1.0,1.14,3.29
QUIXERAMOBIM,18,0.184,0.039,0.4655,-0.5,-0.95,1.44,9.89
BREJO SANTO,21,0.182,0.184,0.4302,1.0,-0.5,1.29,5.38
BATURITE,29,0.181,0.213,0.3474,-0.5,-0.875,1.79,5.03
ARACATI,36,0.177,0.116,0.3025,0.0,0.0,2.5,6.69
TAUA,22,0.161,0.238,0.4741,2.0,1.5,2.14,4.32
BEBERIBE,37,0.151,0.086,0.3723,-0.5,0.0,1.89,11.05
PINDORETAMA,21,0.135,0.162,0.5583,1.0,1.0,1.67,2.76
CAMPOS SALES,13,0.134,0.077,0.663,0.5,1.0,1.23,2.85
MARACANAU,48,0.125,0.139,0.3967,1.0,-0.435,13.81,23.92
BARBALHA,36,0.12,0.132,0.4858,-0.667,-0.714,1.64,5.83
LIMOEIRO DO NORTE,35,0.117,0.121,0.5023,-0.333,0.0,2.91,4.94
TIANGUA,42,0.099,0.088,0.5317,-0.857,0.0,2.74,7.86
TEJUCUOCA,12,0.098,0.098,0.7629,0.0,2.0,1.25,2.17
PENTECOSTE,34,0.092,0.099,0.6063,0.0,4.0,2.18,3.38
SAO BENEDITO,36,0.091,0.095,0.5979,2.0,-0.643,2.42,6.31
CANINDE,39,0.084,0.141,0.6112,0.0,0.0,2.54,4.92
MARANGUAPE,48,0.077,0.106,0.6021,0.0,-0.85,6.48,12.0
IRAUCUBA,17,0.071,0.176,0.7871,1.0,0.0,1.41,1.47
SAO LUIS DO CURU,10,0.07,0.148,0.8483,-0.5,3.0,1.7,2.9
SANTANA DO ACARAU,13,0.067,0.04,0.8275,0.0,-0.6,1.08,4.38
MAURITI,18,0.061,0.146,0.8085,0.0,-0.667,1.5,1.78
ICAPUI,19,0.061,0.068,0.8049,0.0,-0.333,1.42,6.0
BARROQUINHA,14,0.059,0.189,0.842,0.0,0.0,1.07,1.79
AMONTADA,40,0.058,0.009,0.7203,1.0,-0.667,3.25,4.12
ITAITINGA,38,0.054,0.047,0.7496,1.0,-0.765,2.11,8.47
JIJOCA DE JERICOACOARA,24,0.049,0.087,0.8184,-0.667,0.0,1.42,1.83
CRATEUS,35,0.047,0.112,0.7868,0.0,0.0,2.03,5.77
HORIZONTE,44,0.042,0.026,0.7875,-0.75,-0.714,3.34,7.52
QUIXADA,44,0.04,0.029,0.796,1.0,-0.688,3.32,14.95
EUSEBIO,35,0.039,-0.068,0.8226,-0.5,1.0,1.91,4.43
ITAPIPOCA,40,0.033,0.117,0.8418,0.0,-0.545,4.68,7.62
CARIRE,12,0.031,0.053,0.924,2.0,0.0,2.42,1.33
RUSSAS,42,0.027,-0.053,0.8651,-0.667,0.0,2.55,10.81
CAMOCIM,36,-0.002,0.033,0.9891,0.0,0.857,2.22,10.56
PARAIPABA,28,-0.008,-0.026,0.9673,-0.5,-0.8,1.64,9.04
FORQUILHA,36,-0.016,0.07,0.9262,0.0,-0.75,2.06,3.75
FORTALEZA,1902,-0.02,-0.022,0.3912,0.0,0.11,1.67,160.3
PACAJUS,47,-0.028,-0.048,0.8543,-0.5,0.0,2.96,9.04
CEDRO,18,-0.036,-0.01,0.8874,-0.5,6.0,1.5,2.78
BARREIRA,17,-0.042,-0.057,0.8736,-0.5,0.5,1.12,3.18
MONSENHOR TABOSA,10,-0.046,-0.144,0.9006,0.0,-0.667,2.0,2.3
CAPISTRANO,18,-0.046,-0.054,0.8555,0.0,0.333,1.44,3.11
VICOSA DO CEARA,29,-0.049,-0.036,0.8027,1.0,1.0,1.86,4.48
TRAIRI,49,-0.058,-0.058,0.6917,1.0,0.0,2.86,3.53
ACARAU,25,-0.059,0.068,0.7801,-0.333,-0.111,1.68,6.4
CRATO,45,-0.068,-0.083,0.6577,1.0,0.0,3.64,12.47
PARACURU,38,-0.069,0.014,0.6819,0.0,-0.444,2.03,10.42
CARIRIACU,9,-0.073,-0.076,0.8518,0.0,0.333,1.56,8.56
SOBRAL,47,-0.075,-0.182,0.6147,0.0,0.0,7.87,27.21
JUAZEIRO DO NORTE,49,-0.091,-0.041,0.5331,-0.455,0.0,6.04,14.49
CAUCAIA,49,-0.1,-0.113,0.4923,-0.5,0.0,18.73,25.63
PEDRA BRANCA,29,-0.106,-0.08,0.5832,0.0,-0.5,1.79,5.14
AQUIRAZ,42,-0.112,-0.184,0.479,0.5,-0.545,3.76,8.95
ITAPAJE,38,-0.12,-0.156,0.474,2.0,0.0,2.34,5.13
SAO GONCALO DO AMARANTE,42,-0.125,-0.068,0.4304,-0.667,-0.308,3.0,14.36
UBAJARA,26,-0.13,0.04,0.528,-0.5,0.0,1.73,3.62
PACATUBA,48,-0.132,-0.13,0.371,1.0,-0.812,4.23,9.83
CRUZ,17,-0.133,-0.16,0.6097,0.0,-0.5,1.41,1.06
JAGUARIBE,22,-0.159,-0.17,0.4788,-0.5,0.0,1.32,1.09
