cidade,mes_inicial,mes_final,cvli_inicial,cvli_final,cvli_pct_change,pris_inicial,pris_final,pris_pct_change,tipo_divergencia
JIJOCA DE JERICOACOARA,5,6,1,7,600.0,3,2,-33.3,CVLI↑ Pris↓
MONSENHOR TABOSA,1,2,1,6,500.0,3,2,-33.3,CVLI↑ Pris↓
CEDRO,6,7,1,5,400.0,2,1,-50.0,CVLI↑ Pris↓
CHOROZINHO,2,3,1,5,400.0,3,2,-33.3,CVLI↑ Pris↓
MONSENHOR TABOSA,4,5,1,5,400.0,6,3,-50.0,CVLI↑ Pris↓
SENADOR POMPEU,9,11,1,5,400.0,3,2,-33.3,CVLI↑ Pris↓
ARACATI,8,9,3,14,366.7,6,4,-33.3,CVLI↑ Pris↓
CHOROZINHO,4,5,1,4,300.0,5,3,-40.0,CVLI↑ Pris↓
BELA CRUZ,5,6,1,4,300.0,6,2,-66.7,CVLI↑ Pris↓
ARATUBA,6,7,1,4,300.0,3,1,-66.7,CVLI↑ Pris↓
JAGUARIBE,6,7,1,4,300.0,2,1,-50.0,CVLI↑ Pris↓
CAPISTRANO,1,2,1,4,300.0,3,2,-33.3,CVLI↑ Pris↓
CARIRE,9,10,2,8,300.0,3,1,-66.7,CVLI↑ Pris↓
PINDORETAMA,6,7,1,4,300.0,3,1,-66.7,CVLI↑ Pris↓
VARJOTA,9,10,2,8,300.0,3,1,-66.7,CVLI↑ Pris↓
MAURITI,4,5,1,4,300.0,2,1,-50.0,CVLI↑ Pris↓
UBAJARA,9,10,1,4,300.0,10,4,-60.0,CVLI↑ Pris↓
TABULEIRO DO NORTE,3,4,2,7,250.0,11,6,-45.5,CVLI↑ Pris↓
FORQUILHA,6,7,4,12,200.0,6,4,-33.3,CVLI↑ Pris↓
BREJO SANTO,11,12,1,3,200.0,5,3,-40.0,CVLI↑ Pris↓
BARROQUINHA,1,3,1,3,200.0,2,1,-50.0,CVLI↑ Pris↓
ACOPIARA,3,4,2,6,200.0,8,5,-37.5,CVLI↑ Pris↓
JAGUARIBE,8,9,1,3,200.0,2,1,-50.0,CVLI↑ Pris↓
GRANJA,7,8,1,3,200.0,7,1,-85.7,CVLI↑ Pris↓
PEDRA BRANCA,8,9,3,9,200.0,9,1,-88.9,CVLI↑ Pris↓
UBAJARA,11,12,2,6,200.0,6,1,-83.3,CVLI↑ Pris↓
VARZEA ALEGRE,3,6,1,3,200.0,9,6,-33.3,CVLI↑ Pris↓
PARAIPABA,9,10,3,8,166.7,21,7,-66.7,CVLI↑ Pris↓
BATURITE,1,2,3,8,166.7,8,4,-50.0,CVLI↑ Pris↓
ACOPIARA,8,9,3,7,133.3,8,5,-37.5,CVLI↑ Pris↓
GROAIRAS,10,11,3,7,133.3,3,1,-66.7,CVLI↑ Pris↓
BARBALHA,7,8,3,7,133.3,5,3,-40.0,CVLI↑ Pris↓
SAO BENEDITO,6,7,5,11,120.0,6,2,-66.7,CVLI↑ Pris↓
PENTECOSTE,6,7,4,8,100.0,5,3,-40.0,CVLI↑ Pris↓
TABULEIRO DO NORTE,11,12,3,6,100.0,6,2,-66.7,CVLI↑ Pris↓
SAO GONCALO DO AMARANTE,9,10,6,12,100.0,21,8,-61.9,CVLI↑ Pris↓
VICOSA DO CEARA,9,10,3,6,100.0,8,4,-50.0,CVLI↑ Pris↓
UBAJARA,1,2,3,6,100.0,6,4,-33.3,CVLI↑ Pris↓
SAO LUIS DO CURU,5,7,1,2,100.0,9,1,-88.9,CVLI↑ Pris↓
CHOROZINHO,11,12,1,2,100.0,10,3,-70.0,CVLI↑ Pris↓
ARACOIABA,3,8,2,4,100.0,4,1,-75.0,CVLI↑ Pris↓
BEBERIBE,11,12,4,8,100.0,6,2,-66.7,CVLI↑ Pris↓
APUIARES,4,5,1,2,100.0,3,1,-66.7,CVLI↑ Pris↓
PARACURU,11,12,3,6,100.0,9,5,-44.4,CVLI↑ Pris↓
PARAMBU,9,10,1,2,100.0,2,1,-50.0,CVLI↑ Pris↓
PARAIPABA,11,12,3,6,100.0,13,1,-92.3,CVLI↑ Pris↓
QUITERIANOPOLIS,10,11,1,2,100.0,2,1,-50.0,CVLI↑ Pris↓
MOMBACA,10,12,1,2,100.0,6,1,-83.3,CVLI↑ Pris↓
