cidade,n_periodos,corr_prisoes_cvli,p_value,crime_reduction_ratio,total_cvli,total_prisoes,efetividade_categoria,cvli_media,prisoes_media
MORRINHOS,10,-0.591,0.072,-0.522,12,23,MUITO ALTA (↓↓),1.2,2.3
OROS,4,-0.577,0.4226,-0.833,5,6,MUITO ALTA (↓↓),1.25,1.5
FORTIM,9,-0.5,0.1705,-0.75,12,16,ALTA (↓),1.33,1.78
INDEPENDENCIA,8,-0.447,0.2666,-0.909,10,11,ALTA (↓),1.25,1.38
PARAMBU,9,-0.423,0.2572,-0.524,11,21,ALTA (↓),1.22,2.33
SENADOR POMPEU,13,-0.358,0.2295,-0.654,17,26,ALTA (↓),1.31,2.0
BELA CRUZ,17,-0.353,0.1645,-0.256,20,78,ALTA (↓),1.18,4.59
ICO,20,-0.332,0.1531,-0.245,34,139,ALTA (↓),1.7,6.95
VARJOTA,24,-0.304,0.1482,-0.923,48,52,ALTA (↓),2.0,2.17
GENERAL SAMPAIO,8,-0.293,0.4816,-1.222,11,9,ALTA (↓),1.38,1.12
GRANJA,21,-0.292,0.1983,-0.28,30,107,ALTA (↓),1.43,5.1
MASSAPE,19,-0.285,0.2376,-0.211,23,109,ALTA (↓),1.21,5.74
CHOROZINHO,23,-0.274,0.206,-0.324,33,102,ALTA (↓),1.43,4.43
QUITERIANOPOLIS,5,-0.25,0.685,-1.0,6,6,ALTA (↓),1.2,1.2
IGUATU,42,-0.248,0.1135,-0.112,93,832,ALTA (↓),2.21,19.81
ACOPIARA,31,-0.238,0.1964,-0.278,42,151,ALTA (↓),1.35,4.87
CASCAVEL,48,-0.217,0.1393,-0.285,180,631,ALTA (↓),3.75,13.15
GUAIUBA,31,-0.206,0.2657,-0.734,69,94,ALTA (↓),2.23,3.03
MORADA NOVA,42,-0.178,0.2594,-0.814,144,177,NEUTRA (=),3.43,4.21
ARACOIABA,11,-0.172,0.612,-0.857,18,21,NEUTRA (=),1.64,1.91
TABULEIRO DO NORTE,27,-0.159,0.4296,-0.309,47,152,NEUTRA (=),1.74,5.63
JAGUARIBE,22,-0.159,0.4788,-1.208,29,24,NEUTRA (=),1.32,1.09
