cidade,mes_operacao,mes_resultado,prisoes_antes,prisoes_depois,prisoes_aumento,prisoes_aumento_pct,cvli_antes,cvli_depois,cvli_aumento,cvli_aumento_pct,tipo_impacto,cvli_reducao,cvli_reducao_pct
ACARAU,1,2,5,9,4,80.0,2,3,1.0,50.0,NEGATIVO: Pris↑ Cvli↑,,
ACARAU,3,4,6,7,1,16.7,1,3,2.0,200.0,NEGATIVO: Pris↑ Cvli↑,,
ACARAU,8,9,2,3,1,50.0,1,2,1.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
ACARAU,10,11,3,8,5,166.7,1,2,1.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
ACOPIARA,5,6,2,7,5,250.0,2,1,,,POSITIVO: Pris↑ Cvli↓,1.0,-50.0
AMONTADA,1,2,3,7,4,133.3,5,4,,,POSITIVO: Pris↑ Cvli↓,1.0,-20.0
AMONTADA,10,11,4,5,1,25.0,3,1,,,POSITIVO: Pris↑ Cvli↓,2.0,-66.7
AQUIRAZ,4,5,6,22,16,266.7,4,6,2.0,50.0,NEGATIVO: Pris↑ Cvli↑,,
AQUIRAZ,7,8,7,12,5,71.4,1,4,3.0,300.0,NEGATIVO: Pris↑ Cvli↑,,
AQUIRAZ,10,11,3,5,2,66.7,4,3,,,POSITIVO: Pris↑ Cvli↓,1.0,-25.0
ARACATI,7,8,4,6,2,50.0,1,2,1.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
AURORA,8,9,3,5,2,66.7,1,3,2.0,200.0,NEGATIVO: Pris↑ Cvli↑,,
BARBALHA,9,10,3,9,6,200.0,1,2,1.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
BARBALHA,10,11,9,10,1,11.1,2,1,,,POSITIVO: Pris↑ Cvli↓,1.0,-50.0
BATURITE,4,5,4,7,3,75.0,2,1,,,POSITIVO: Pris↑ Cvli↓,1.0,-50.0
BATURITE,5,6,7,9,2,28.6,2,3,1.0,50.0,NEGATIVO: Pris↑ Cvli↑,,
BATURITE,7,8,3,4,1,33.3,1,3,2.0,200.0,NEGATIVO: Pris↑ Cvli↑,,
BEBERIBE,6,7,10,20,10,100.0,1,5,4.0,400.0,NEGATIVO: Pris↑ Cvli↑,,
BOA VIAGEM,3,4,3,4,1,33.3,1,3,2.0,200.0,NEGATIVO: Pris↑ Cvli↑,,
BOA VIAGEM,5,6,4,5,1,25.0,4,1,,,POSITIVO: Pris↑ Cvli↓,3.0,-75.0
BOA VIAGEM,7,8,4,8,4,100.0,4,1,,,POSITIVO: Pris↑ Cvli↓,3.0,-75.0
BOA VIAGEM,8,9,8,11,3,37.5,1,3,2.0,200.0,NEGATIVO: Pris↑ Cvli↑,,
BREJO SANTO,8,10,7,9,2,28.6,2,1,,,POSITIVO: Pris↑ Cvli↓,1.0,-50.0
CAMOCIM,1,2,7,14,7,100.0,1,4,3.0,300.0,NEGATIVO: Pris↑ Cvli↑,,
CAMOCIM,4,5,3,13,10,333.3,2,4,2.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
CAMOCIM,11,12,8,9,1,12.5,6,1,,,POSITIVO: Pris↑ Cvli↓,5.0,-83.3
CAMPOS SALES,1,2,2,5,3,150.0,2,1,,,POSITIVO: Pris↑ Cvli↓,1.0,-50.0
CAMPOS SALES,7,10,1,4,3,300.0,1,3,2.0,200.0,NEGATIVO: Pris↑ Cvli↑,,
CANINDE,2,3,4,5,1,25.0,5,2,,,POSITIVO: Pris↑ Cvli↓,3.0,-60.0
CANINDE,3,4,5,7,2,40.0,1,2,1.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
CANINDE,7,8,3,4,1,33.3,3,2,,,POSITIVO: Pris↑ Cvli↓,1.0,-33.3
CANINDE,8,9,4,6,2,50.0,1,4,3.0,300.0,NEGATIVO: Pris↑ Cvli↑,,
CANINDE,10,11,7,8,1,14.3,2,4,2.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
CARIRIACU,1,2,15,16,1,6.7,2,1,,,POSITIVO: Pris↑ Cvli↓,1.0,-50.0
CARIRIACU,3,4,6,9,3,50.0,2,1,,,POSITIVO: Pris↑ Cvli↓,1.0,-50.0
CARIRIACU,5,9,7,8,1,14.3,3,1,,,POSITIVO: Pris↑ Cvli↓,2.0,-66.7
CARIRE,8,9,1,3,2,200.0,4,2,,,POSITIVO: Pris↑ Cvli↓,2.0,-50.0
CARIRE,10,11,1,2,1,100.0,3,5,2.0,66.7,NEGATIVO: Pris↑ Cvli↑,,
CASCAVEL,2,3,5,8,3,60.0,1,6,5.0,500.0,NEGATIVO: Pris↑ Cvli↑,,
CASCAVEL,3,4,8,13,5,62.5,2,6,4.0,200.0,NEGATIVO: Pris↑ Cvli↑,,
