,bairro_id,operacoes_diarias,drogas_gramas_total,armas_total,dinheiro_total_reais,drogas_gramas_total_norm,armas_total_norm,dinheiro_total_reais_norm,drogas_gramas_total_norm_lag1,drogas_gramas_total_norm_lag7,drogas_gramas_total_norm_lag30,armas_total_norm_lag1,armas_total_norm_lag7,armas_total_norm_lag30,dinheiro_total_reais_norm_lag1,dinheiro_total_reais_norm_lag7,dinheiro_total_reais_norm_lag30,drogas_gramas_total_norm_ma7,drogas_gramas_total_norm_ma30,armas_total_norm_ma7,armas_total_norm_ma30,dinheiro_total_reais_norm_ma7,dinheiro_total_reais_norm_ma30,intensity_score,drogas_gramas_total_norm_volatility,armas_total_norm_volatility,dinheiro_total_reais_norm_volatility,day_of_week_sin,day_of_week_cos,month_sin,month_cos
bairro_id,1.0,-0.055943086680537456,-0.007478812790855532,-0.028587718020817457,-0.008513791087171449,-0.010319629348826822,-0.031289283634418505,-0.015403107727806441,-0.010292350454385165,-0.00923886483154133,-0.009198769760796333,-0.03125131639074052,-0.030554262351177332,-0.03091816111457609,-0.015391391683012989,-0.015673617976646365,-0.01554485018216862,-0.023882043678103506,-0.03696341170234312,-0.05248538899949288,-0.06299407951706075,-0.03799420858920592,-0.063601022731475,-0.029386028746843016,-0.017507609287239316,-0.04997017491782941,-0.03003867871001216,7.983257721119197e-17,-2.335442394890183e-17,-2.731125759567153e-15,-5.3163174652018214e-15
operacoes_diarias,-0.055943086680537456,1.0,0.10757927587689743,0.5856746511867508,0.07609632122658881,0.31856839958460526,0.5959899117029771,0.29535281250007994,0.1277311068015766,0.134017715345639,0.10905955670817845,0.30116958289997486,0.29499928643559764,0.26948146780467014,0.10760854811370184,0.11618906840575312,0.10887970554312901,0.3546078775243327,0.4795717344205672,0.5827615394644193,0.5891056468801342,0.32816758841242644,0.4217797301191967,0.6180624733989153,0.2933968393341703,0.4220175192790796,0.29102795309516144,0.007749196781326879,-0.015843622852463997,-0.005709738365849668,-0.02506546423113957
drogas_gramas_total,-0.007478812790855532,0.10757927587689743,1.0,0.06283211930366155,0.032724853151063556,0.4276124172695789,0.0659828523992177,0.09654326206551708,0.02957874316017235,0.005209989922948011,0.00873114179140771,0.044380982571627245,0.05477630889711975,0.03691504388510694,0.019635320565950805,0.017016805991473986,0.0068773103371289985,0.18051868623431133,0.10366736927145162,0.07482630672466747,0.07484956312507357,0.06375820560457532,0.05191428927985895,0.2765402468815915,0.1703292540317477,0.05979058223306672,0.0536940871489398,0.005999383474626035,-0.0032741116302103237,-0.0030211210375917226,-0.0011475236329916822
armas_total,-0.028587718020817457,0.5856746511867508,0.06283211930366155,1.0,0.038392622666421225,0.19605082308073069,0.9183123737807591,0.154426414021281,0.08353500281282311,0.08392437687194378,0.05171728540080325,0.2591263684828835,0.26070083103155495,0.2360817351637474,0.06283642853531082,0.058887829595926484,0.058766573737984475,0.22986099255695341,0.32463910871796625,0.5926560173216727,0.5234478452072114,0.18366704406045883,0.2166429987437571,0.7057182204160304,0.18797570007922196,0.44311249140378867,0.1623089779959767,-0.0014188679577797653,-0.010295642153016935,-0.006785420659111528,-0.010117598399999903
dinheiro_total_reais,-0.008513791087171449,0.07609632122658881,0.032724853151063556,0.038392622666421225,1.0,0.05592213319025177,0.046316125069114665,0.2849151919073646,0.008483439722828176,0.013694150225027686,0.007833931144750785,0.012316308700935896,0.017304585480223088,0.032055926391324596,0.0028525755837227693,0.0046444022414762354,0.013023914779317398,0.03440714200272054,0.04049957328095041,0.03705823635115345,0.039195982598612976,0.11470974963048847,0.07060053290403887,0.15629217981992402,0.032158995811136855,0.029137948379179376,0.11082048227406438,0.0030905414746676485,0.002108503419096583,-0.007139733391523852,0.0001668611744777521
drogas_gramas_total_norm,-0.010319629348826822,0.31856839958460526,0.4276124172695789,0.19605082308073069,0.05592213319025177,1.0,0.21122646349481194,0.24320755606419625,0.04435200951001452,0.03369087019917504,0.030934417275850484,0.09339505985255955,0.08754448064384966,0.07652690496287391,0.031602340491657416,0.026518571735030288,0.021868451067110564,0.4169557883646951,0.2602676122418524,0.17291499301049965,0.1720431174300663,0.14824239757161087,0.12931683992221396,0.6875190700051579,0.4069333249744453,0.14660909873940575,0.14209828556046097,0.008323210900534285,-0.010025991447610712,-0.005378334883937462,-0.01252820043176982
armas_total_norm,-0.031289283634418505,0.5959899117029771,0.0659828523992177,0.9183123737807591,0.046316125069114665,0.21122646349481194,1.0,0.17729063842778187,0.08384805179667418,0.09243769744170195,0.05859603485013484,0.24555270146668365,0.241925209103825,0.2228789133406473,0.06677686035436439,0.0664623222860217,0.05567290453354728,0.2323603532872696,0.31790988905934964,0.5956481537871808,0.5077711284902723,0.19196239568628073,0.23023883177066648,0.7706845859445903,0.19348032024666667,0.4878758193183305,0.1751313557595245,-0.00010494327386276068,-0.015845897585642175,-0.011045311461314114,-0.013642435690723537
dinheiro_total_reais_norm,-0.015403107727806441,0.29535281250007994,0.09654326206551708,0.154426414021281,0.2849151919073646,0.24320755606419625,0.17729063842778187,1.0,0.02968809005193355,0.030683416064148223,0.028304601664053075,0.06813612174284285,0.0724167337414063,0.06322458818428939,0.030472216710243177,0.03541977330643214,0.04065224940957054,0.14385046528685427,0.152256119347463,0.13861615677233305,0.13412145458122,0.4214443544566048,0.2761232655829884,0.5796737570641429,0.1285716875828902,0.11637508721526349,0.3993913272789418,-0.009309130170635956,-0.00885652499320243,-0.003209699554535847,-0.0006953268543643546
drogas_gramas_total_norm_lag1,-0.010292350454385165,0.1277311068015766,0.02957874316017235,0.08353500281282311,0.008483439722828176,0.04435200951001452,0.08384805179667418,0.02968809005193355,1.0,0.023396970872078864,0.02117371032434228,0.2114395878676582,0.07649388123007748,0.07325221051910388,0.24321688958933613,0.03610080373834066,0.03524632098270996,0.4234602693991644,0.2610162279602625,0.17472930134393846,0.17238776871987596,0.14548374874212303,0.1290214036243831,0.08249664111044148,0.409053023175892,0.14961794865602,0.1397639364744235,-0.0028200568574470474,-0.012066927707711065,-0.005063833226567658,-0.012576488140243407
drogas_gramas_total_norm_lag7,-0.00923886483154133,0.134017715345639,0.005209989922948011,0.08392437687194378,0.013694150225027686,0.03369087019917504,0.09243769744170195,0.030683416064148223,0.023396970872078864,1.0,0.032234431742738566,0.07880212050797722,0.21418350434099528,0.08208793798309501,0.030586104880319622,0.24587255529954669,0.028232907752845697,0.08528835510093573,0.2594605620986089,0.13468036024582986,0.17164181031396789,0.0681482776335492,0.1297437781500438,0.0830355945319772,0.06933881735847404,0.09716641834415839,0.06052191299184235,0.007382327437228658,-0.010058618682523807,-0.007937303236778033,-0.013638503703540143
