Controle,Base,natureza,data,HoraI,HoraF,local_ocorrencia,bairro,municipio,dinheiro_apreendido,total_armas,total_drogas_g,lat_long_str,area_faccao,lat,long,is_cvli,has_large_seizure,has_weapons_drugs
31344,CRATEÚS-4ªCIA/5ºBPRAIO,DESACATO - Art. 331/CPB; RESISTÊNCIA - Art. 329/CPB; DESOBEDIÊNCIA - Art. 330/CPB; LESÃO CORPORAL - Art. 129/CPB; POSSE DE DROGA PARA CONSUMO - Art. 28/ Lei nº 11.343/2006,2025-01-02,12:30,15:00,"Rua Jose Machado Neto, 327",Altamira,Crateús,0.0,0,0.6,"-5.1782451,-40.6696545",SEM_FACCAO,-5.1782451,-40.6696545,False,False,False
31356,MARACANAU-2ªCIA/2ºBPRAIO,TRÁFICO DE DROGAS,2025-01-02,21:20,23:45,"Rua Santa Maria, 1600",Siqueira,Fortaleza,0.0,0,54.0,"-3.8112294,-38.6185398",SEM_FACCAO,-3.8112294,-38.6185398,False,False,False
31355,ITAPAJÉ-1ºPEL/5ªCIA/4ºBPRAIO,TRÁFICO DE DROGAS; PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO,2025-01-02,19:00,04:00,"Rua Morro Da Paz, 59",Lajeiro,Uruburetama,3414.5,1,0.0,"-3.6233138,-39.5109947",CV,-3.6233138,-39.5109947,False,False,False
31354,GUARACIABA DO NORTE-3ºPEL/2ªCIA/4ºBPRAIO,ROUBO,2025-01-02,17:45,00:30,Loteamento,Lagoinha,Guaraciaba do Norte,0.0,0,0.0,"-3.8097458,-40.8675528",SEM_FACCAO,-3.8097458,-40.8675528,True,False,False
31352,BEBERIBE-1ºPEL/2ªCIA/3ºBPRAIO,TRÁFICO DE DROGAS,2025-01-02,19:30,23:00,Rua Maria Neres Dos Santos,Centro,Beberibe,78.0,0,61.0,"-4.1810469,-38.1298101",SEM_FACCAO,-4.1810469,-38.1298101,False,False,False
31351,FORTALEZA-1ªCIA/1ºBPRAIO,TRÁFICO DE DROGAS,2025-01-02,18:00,22:20,"Av. Senador Fernandes Tavaro, 2840",Genibau,Fortaleza,1285.0,0,12.0,"-3.7581017,-38.6013313",CV,-3.7581017,-38.6013313,False,False,False
31353,IGUATU-2ªCIA/5ºBPRAIO,APRESENTAÇÃO E APREENSÃO DE ARMA BRANCA,2025-01-02,22:00,23:20,"Rua Leonardo Mota, 689",João Paulo,Iguatu,0.0,0,0.0,"-6.3323981,-39.3216082",SEM_FACCAO,-6.3323981,-39.3216082,False,False,False
31349,QUIXADA-3ªCIA/3ºBPRAIO,ESTELIONATO - Art. 171/CPB,2025-01-02,14:40,16:13,"Rua Juvêncio Alves, 2319",Boto,Quixadá,0.0,0,0.0,"-4.9765764,-39.0112884",SEM_FACCAO,-4.9765764,-39.0112884,False,False,False
31348,IGUATU-2ªCIA/5ºBPRAIO,DIREÇÃO PERIGOSA - Art.175/CTB,2025-01-02,13:00,16:50,"Av. Tertulino Vieira Barbosa, 248",Vila Coqueiro,Iguatu,0.0,0,0.0,"-6.361934,-39.2972233",SEM_FACCAO,-6.361934,-39.2972233,False,False,False
31347,IBIAPINA-6ºPEL/2ªCIA/4ºBPRAIO,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO,2025-01-02,14:00,16:00,Sítio Cacimbas,Zona Rural,Ibiapina,0.0,2,0.0,"-3.9228792,-40.8890296",SEM_FACCAO,-3.9228792,-40.8890296,False,False,False
31346,IGUATU-2ªCIA/5ºBPRAIO,ADULTERAÇÃO DE VEÍCULO - Art. 311/CPB,2025-01-02,13:00,16:00,Rua Alfredo Leopoldo,Alto Do Jucá,Iguatu,0.0,0,0.0,"-6.361934,-39.2972233",SEM_FACCAO,-6.361934,-39.2972233,False,False,False
31345,FORTALEZA-2ªCIA/1ºBPRAIO,APRESENTAÇÃO E APREENSÃO DE MUNIÇÃO,2025-01-02,14:45,15:50,"Rua Das Dunas, 34",Praia Do Futuro II,Fortaleza,0.0,0,0.0,"-3.7535765,-38.4495071",SEM_FACCAO,-3.7535765,-38.4495071,False,False,False
31350,FORTALEZA-1ªCIA/1ºBPRAIO,MANDADO DE PRISÃO,2025-01-02,20:00,21:50,Rua Dr. Jose Roberto Sales,Barra do Ceará,Fortaleza,120.0,0,0.0,"-3.7044722,-38.5812573",SEM_FACCAO,-3.7044722,-38.5812573,False,False,False
31366,TIANGUÁ-2ªCIA/4ºBPRAIO,DIREÇÃO PERIGOSA - Art.175/CTB,2025-01-03,20:15,21:30,"Rua Batista Leal, 314",Centro,Tianguá,0.0,0,0.0,"-4.042617,-40.8655906",SEM_FACCAO,-4.042617,-40.8655906,False,False,False
31372,MARACANAU-2ªCIA/2ºBPRAIO,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO,2025-01-03,19:00,22:00,"Rua Santa Maia, 905",Siqueira,Maracanaú,0.0,1,0.0,"-3.8146587,-38.6282833",GDE,-3.8146587,-38.6282833,False,False,False
31371,CAUCAIA-1ªCIA/2ºBPRAIO,VEÍCULO LOCALIZADO,2025-01-03,23:40,01:30,Tv. Monsenhor Custódio de Almeida,Mestre Antônio,Caucaia,0.0,0,0.0,"-3.7072294,-38.6700721",CV,-3.7072294,-38.6700721,False,False,False
31369,NOVO ORIENTE-3ºPEL/4ªCIA/5ºBPRAIO,OUTROS,2025-01-03,17:00,01:20,Rua JK Centro,Centro,Novo Oriente,0.0,0,0.0,"-5.5350339,-40.7748902",SEM_FACCAO,-5.5350339,-40.7748902,False,False,False
31368,FORTALEZA-2ªCIA/1ºBPRAIO,TRÁFICO DE DROGAS,2025-01-03,23:20,01:10,"Rua Milton Braga, 45",Quintino Cunha,Fortaleza,0.0,0,2.0,"-3.7367788,-38.5967881",PCC,-3.7367788,-38.5967881,False,False,False
