bairro,n_high_months,mean_homicide_reduction_next_vs_prev
-,2,-0.5
02 DE AGOSTO,1,0.0
ABC,1,0.0
ACARACUZINHO,14,0.0
AEROLÂNDIA,6,0.0
AEROPORTO,7,-0.14285714285714285
ALAGADIÇO,2,0.0
ALDEIA PARK,5,0.0
ALDEOTA,5,0.0
ALMOFALA,3,0.0
ALTAMIRA,2,0.0
ALTIPLANO,3,0.0
ALTO,1,0.0
ALTO ALEGRE,9,0.0
ALTO ALEGRE 1,5,0.0
ALTO ALEGRE 2,5,0.0
ALTO ALEGRE I,1,0.0
ALTO ALEGRE II,4,0.0
ALTO BRILHANTE,4,0.0
ALTO DA BELA VISTA,1,0.0
ALTO DA BOA VISTA,8,0.0
ALTO DA BRASÍLIA,5,0.0
ALTO DA EXPECTATIVA,1,0.0
ALTO DA LIBERDADE,2,0.0
ALTO DO JUCÁ,1,0.0
ALTO DO MOTOR,1,0.0
ALTO DO ROSÁRIO,2,0.0
ALTO GUARAMIRANGA,3,0.0
ALTO LUMINOSO,2,0.0
ALTO NOVO,2,0.0
ALTO SÃO JOÃO,4,0.0
ALTO TIRADENTES,1,0.0
AMADEU FURTADO,1,0.0
ANCURI,6,0.0
ANGORÁ,3,0.0
ANTÔNIO BEZERRA,10,0.0
ANTÔNIO MIGUEL,2,0.0
APOSSADOS,1,0.0
ARACAPÉ,10,0.0
ARATURI,18,0.0
ARAÇA,1,0.0
ARAÇÁ,8,0.125
AREIAS,4,0.0
AREIAS II,1,0.0
ARIANOPOLES,1,0.0
ATERRO,1,0.0
AUTRAN NUNES,3,0.0
BANDEIRA BRANCA,1,0.0
BANGUÊ,2,0.0
BARRA DO CEARA,1,0.0
BARRA DO CEARÁ,19,0.05263157894736842
BARREIRAS,1,0.0
BARREIROS,1,0.0
BARRO BRANCO,11,0.0
BARROCÃO,11,0.0
BARROSO,17,-0.058823529411764705
BEIRA RIO,3,0.0
BELA VISTA,23,0.0
BENFICA,7,0.0
BEZERRA E SOUSA,3,-0.3333333333333333
BEZERRA E SOUZA,4,0.0
BICA,1,0.0
BOA ESPERANÇA,9,0.0
BOA VISTA,13,0.0
BOAVIAGINHA,1,0.0
BOM FUTURO,1,0.0
BOM JARDIM,15,0.0
BOM SUCESSO,6,0.0
BONSUCESSO,8,0.0
BRASÍLIA,6,0.0
BUENOS AIRES,4,0.0
BURITI,7,0.14285714285714285
CACHOEIRA,2,0.0
CACIMBAS,2,0.0
CACIMBÃO DOS TABOSAS,2,0.0
CAIS DO PORTO,7,0.14285714285714285
CAIÇARA,8,0.375
CAJAZEIRAS,7,0.0
CAJUEIRO,1,0.0
CAMARÁ,2,0.0
CAMBEBA,3,0.0
CAMPO DE AVIAÇÃO,2,0.0
CAMPO DOS VELHOS,1,0.0
CAMPO NOVO,14,0.07142857142857142
CAMPO VELHO,16,0.0
CANINDEZINHO,20,0.1
CANOA QUEBRADA,6,0.0
CAPILÉ,1,0.0
CAPONGA,5,0.0
CARAPIÓ,1,0.0
CARCARÁ,1,0.0
CARLITO PAMPLONA,14,0.0
CARLOTAS,2,0.0
CARNAÚBAS,1,0.0
CARRAPICHO,8,0.0
CASTELÃO,4,-0.25
CATATAU,1,0.0
CATOLÉ,2,0.0
CENTRO,16,-0.6875
CHORA,1,0.0
CHÁCARA DA PRAINHA,1,0.0
CIDADE 2000,3,-0.3333333333333333
CIDADE ALTA,2,-0.5
CIDADE DE DEUS,6,0.0
CIDADE DOS FUNCIONÁRIOS,1,0.0
CIDADE NOVA,9,0.0
CIGANA,1,0.0
COAÇU,9,-0.1111111111111111
COCOBO,1,1.0
COHAB,2,0.0
COHAB 3,1,0.0
COLÔNIA,8,0.0
CONJUNTO CEARÁ,11,0.0
CONJUNTO ESPERANÇA,2,0.0
CONJUNTO INDUSTRIAL,1,0.0
CONJUNTO METROPOLITANO,3,0.0
CONJUNTO NOVA ESPERANÇA,1,1.0
