bairro,cvli_predito,prob_mudanca,volatilidade
Jangurussu,0.0800437012836659,0.00033967578,0.11703685
Barra Do Ceará,0.07183408760444827,0.0003395469,0.083620876
Messejana,0.056954174114818255,0.00033987433,0.14313346
Granja Lisboa,0.055414863729084635,0.00033947246,0.09520432
Prefeito José Walter,0.05284936518549214,0.00033952974,0.13277113
Planalto Ayrton Senna,0.047718365802704985,0.0003395524,0.08649927
Siqueira,0.041561154422272505,0.0003397062,0.11982761
Mondubim,0.0384825505792356,0.00033979627,0.08476081
Barroso,0.03540394659014275,0.00033954883,0.111929074
Passaré,0.03335154519348112,0.0003397642,0.10913598
Cristo Redentor,0.030786038880476572,0.0003395469,0.073493004
Vicente Pinzón,0.029759840095908763,0.00033955564,0.10402457
Granja Portugal,0.028733663224385184,0.00034293966,0.10250617
Pici,0.028733635824647368,0.00033961228,0.10250639
Quintino Cunha,0.028220534564500847,0.0003398711,0.10502409
Bom Jardim,0.02770743516718936,0.00033955468,0.071654215
Conjunto Palmeiras,0.027707431864542317,0.0003395469,0.10096309
Lagoa Redonda,0.02719433390704284,0.0003397872,0.10351526
Carlito Pamplona,0.025655031989438287,0.0003395634,0.09778525
Jardim Das Oliveiras,0.025655028931431834,0.0003395469,0.18114363
Bonsucesso,0.0236026277338063,0.0003395469,0.088927075
Canindezinho,0.023089529334908824,0.00033959743,0.06362177
Praia Do Futuro Ii,0.022576429936226917,0.00033988632,0.09093024
Vila Velha,0.022576429936226917,0.00033990445,0.0890433
Edson Queiroz,0.02206332597748761,0.00033954336,0.16840012
Antônio Bezerra,0.021550226532630334,0.0003395469,0.08915434
Paupina,0.021037127949915267,0.0003399025,0.08825104
Centro,0.018984724744493253,0.00033965212,0.08040951
José De Alencar,0.01898472248156835,0.0003395469,0.08040961
Cajazeiras,0.017958526182321497,0.00034016446,0.08259473
Pirambu,0.017958524041716783,0.00033955564,0.08462596
Sapiranga / Coité,0.017445420685380658,0.0003395469,0.07950157
Parque Dois Irmăos,0.01693231944345827,0.000339454,0.055127267
Boa Vista/Castelão,0.015906118872235583,0.0003395469,0.055186536
Vila Peri,0.015393019440238286,0.0003395288,0.14129868
Jacarecanga,0.014879920047954381,0.0003395566,0.07188737
Genibaú,0.014879918274310462,0.0003395469,0.07421237
Papicu,0.014366817912323684,0.00033956178,0.053180493
Floresta,0.01385371758359468,0.00033955273,0.07197745
Pedras,0.013853715932271159,0.00033952782,0.13418505
Álvaro Weyne,0.013340615640760754,0.0003395469,0.070832215
Cidade Dos Funcionários,0.012827514465715917,0.00033952424,0.0671819
Parque Săo José,0.012827514465715917,0.00033953105,0.04958713
Curió,0.012314417094099807,0.00034004808,0.06847541
Serrinha,0.012314415626256677,0.00033955468,0.1266422
Cais Do Porto,0.011801315273586185,0.00033960745,0.06469069
