year_month,bairro,procedimentos,armas_sequestradas,drogas_kg,dinheiro_reais,homicidios
2020-06,ITAPERI,1,0,0.0,0.0,0
2021-01,ACARACUZINHO,1,3,0.0,0.0,0
2021-01,AEROLANDIA,1,0,0.0,22.7,0
2021-01,AEROLÂNDIA,2,0,0.8,133.0,0
2021-01,AEROPORTO,1,0,508.0,547.0,0
2021-01,ALDEIA PARK,2,1,64.0,70.0,0
2021-01,ALDEOTA,3,0,0.0,0.0,0
2021-01,ALTAMIRA,1,0,0.0,0.0,0
2021-01,ALTO ALEGRE I,1,0,0.0,0.0,0
2021-01,ALTO BRILHANTE,1,0,59.0,0.0,0
2021-01,ALTO DA BOA VISTA,1,1,2.8,410.0,0
2021-01,ALTO DO POSTO,1,0,3.0,7.0,0
2021-01,ALTO DOS PESCADORES,1,0,0.0,0.0,0
2021-01,ALTO GUARAMIRANGA,1,0,0.02,0.0,0
2021-01,ALTO SÃO JOÃO,1,0,0.0,0.0,0
2021-01,AMARELAS,1,2,0.0,0.0,0
2021-01,ANCURI,1,0,10.0,107.0,0
2021-01,ANGORÁ,1,0,9.0,16.0,0
2021-01,ANTÔNIO BEZERRA,1,0,0.0,0.0,0
2021-01,ANTÔNIO VIEIRA,2,1,0.0,0.0,0
2021-01,APOSSADOS II,1,0,0.0,0.0,1
2021-01,ARATURI,5,2,117.6,70.0,0
2021-01,AUTRAN NUNES,4,0,25.6,269.0,0
2021-01,BAIRRO DE FATIMA,1,0,115.5,0.0,0
2021-01,BAIRRO DE FÁTIMA,2,0,1.0,0.0,0
2021-01,BANGUÊ,1,1,0.0,0.0,0
2021-01,BAOM JARDIM,1,0,0.0,0.0,0
2021-01,BARRA DO CEARÁ,6,3,44.0,299.0,0
2021-01,BARREIRO,1,1,0.0,0.0,0
2021-01,BARROSO,4,2,14.8,0.0,0
2021-01,BARROSO 2,1,1,0.0,220.0,0
2021-01,BARROSO I,1,0,0.0,0.0,0
2021-01,BATATEIRAS,1,1,0.0,0.0,0
2021-01,BELA VISTA,1,0,234.0,0.0,0
2021-01,BEM AVENTURANÇA,1,1,0.0,0.0,0
2021-01,BENFICA,3,0,220.0,70.0,1
2021-01,BEZERRA E SOUSA,1,0,0.0,165.0,0
2021-01,BNH,1,0,7.0,127.0,0
2021-01,BOA ESPERANÇA,2,1,0.0,0.0,0
2021-01,BOA VIDA,1,0,506.0,322.0,0
2021-01,BOA VISTA,1,0,1270.0,0.0,0
2021-01,BOM JARDIM,12,1,600.0,0.0,0
2021-01,"BOM JARDIM, CONJUNTO MIGUEL ARRAIS",1,0,0.0,0.0,0
2021-01,BOM SUCESSO,2,0,3.0,309.0,0
2021-01,BONSUCESSO,5,1,0.0,0.0,0
2021-01,BURITI,1,1,0.0,0.0,0
2021-01,CACIMBA DO POVO,1,1,51.5,37.0,0
2021-01,CACIMBÃO,1,0,13.0,124.0,0
2021-01,CACIMBÃO DOS TABOSAS,1,0,0.0,427.0,0
2021-01,CAIS DO PORTO,1,1,0.0,0.0,0
2021-01,CAIÇARA,2,0,52.03,0.0,0
2021-01,CAMPO ALEGRE,1,0,0.0,0.0,0
2021-01,CAMPO GRANDE 2,1,0,30.0,0.0,0
2021-01,CAMPO VELHO,1,1,0.0,0.0,0
2021-01,CAN,1,0,102.1,410.0,0
2021-01,CANINDEZINHO,5,0,18.1,343.7,1
2021-01,CAPONGA,2,1,0.0,0.0,0
2021-01,CARLITO PAMPLONA,5,0,17.0,199.0,0
2021-01,CASTELÃO,1,0,100.0,0.0,0
2021-01,CATU,1,0,0.0,0.0,0
2021-01,CEASA,1,0,50.0,2600.0,0
2021-01,CENTRO,46,1,3131.2,3267.4,0
2021-01,CHOROZINHO,1,0,39.0,905.75,0
2021-01,CIDADE 2000,1,0,0.0,0.0,0
2021-01,CIDADE ALTA,1,0,1.0,0.0,0
2021-01,CIDADE DOS FUNCIONÁRIOS,2,0,215.0,0.0,0
2021-01,CIDADE JARDIM,1,0,0.0,0.0,0
2021-01,CIDADE JARDIM 1,1,0,0.0,0.0,0
2021-01,CIDADE JARDIM II,4,1,65.0,25.0,0
2021-01,CINZAS,1,0,1079.0,26.2,0
2021-01,COAÇU,2,1,0.0,0.0,0
2021-01,COHAB,1,0,0.0,100.0,0
2021-01,COHAB I,1,0,0.0,0.0,0
2021-01,COITÉ PEDREIRAS,1,0,49.0,700.0,0
2021-01,CONJUNTO CAIÇARA,1,0,184.0,26.0,0
2021-01,CONJUNTO CEARÁ,5,0,14.0,0.0,0
2021-01,CONJUNTO DOS ARTESÃOS,1,0,0.0,0.0,0
2021-01,CONJUNTO ESPERANÇA,2,0,109.0,0.0,0
2021-01,CONJUNTO ITAPERI,1,0,5.0,41.8,0
2021-01,CONJUNTO PALMEIRAS,1,0,0.0,0.0,0
2021-01,COQUEIROS,2,0,48.300000000000004,103.0,0
2021-01,CORRENTE,2,0,0.0,90.0,0
2021-01,COUTO FERNANDES,3,0,0.0,0.0,0
2021-01,CRISTO REDENTOR,3,0,40.0,13.0,0
2021-01,CROATA,1,0,0.0,0.0,0
2021-01,CROATA 1,1,1,0.0,0.0,0
2021-01,CRUZEIRO,2,0,2.0,15.0,0
2021-01,CUBA,1,1,0.0,0.0,0
2021-01,CURRALINHO,2,0,0.0,0.0,0
2021-01,CÁGADO,1,1,0.0,0.0,0
2021-01,CÓRREGO FUNDO,1,2,0.0,940.0,0
2021-01,DAMAS,1,0,0.0,0.0,0
2021-01,DEMÓCRITO ROCHA,2,1,0.0,20.0,0
2021-01,DIADEMA,1,3,0.0,0.0,1
2021-01,DISTRITO DE MONTE ALEGRE,1,1,0.0,0.0,0
2021-01,DISTRITO DE REALEJO,1,0,0.0,0.0,0
2021-01,DIVINÉIA,1,0,7.0,90.0,0
2021-01,DOM JOSÉ,1,0,0.0,0.0,0
2021-01,DOM JOSÉ I,1,0,0.0,0.0,0
2021-01,DOM LUSTOSA,1,0,0.0,0.0,0
2021-01,DOMINGOS OLÍMPIO,1,0,0.0,0.0,0
2021-01,DOURADO,1,0,0.0,0.0,0
2021-01,EDSON QUEIROZ,1,1,0.0,0.0,0
2021-01,ESCOLA NORMAL,1,0,0.0,0.0,0
2021-01,ESMERINO GOMES,2,1,0.0,0.0,0
2021-01,FLAMENGA,1,0,0.0,0.0,0
2021-01,FLECHEIRAS DO MEIO,1,2,970.0,1689.0,0
2021-01,FLORES,1,1,0.0,0.0,0
2021-01,FOMENTO,1,0,3623.0,318.55,0
2021-01,FRANCISCANO,1,0,0.0,0.0,0
2021-01,FREI DAMIÃO,3,2,4.0,1.521,0
2021-01,FÁTIMA,1,0,0.0,0.0,0
2021-01,FÁTIMA I,1,0,0.0,0.0,0
2021-01,FÁTIMA II,2,0,1.0,0.0,0
2021-01,GENIBAU,2,0,13.1,94.0,0
2021-01,GENIBAÚ,6,2,99.0,0.0,0
2021-01,GOVERNADOR FERRAZ,1,0,0.0,0.0,0
2021-01,GRANJA LISBOA,2,0,0.0,0.0,0
2021-01,GRANJA PORTUGAL,4,0,383.0,0.0,0
2021-01,GRILO,1,0,0.0,0.0,1
2021-01,GRUTA,1,2,0.0,0.0,0
2021-01,HENRIQUE JORGE,2,0,27.0,9.0,0
2021-01,ICARAÍ,1,1,0.0,0.0,0
2021-01,INHUÇU,1,0,0.0,531.0,0
2021-01,ITAPERI,3,1,5.5,80.0,0
2021-01,JACARECANGA,3,0,160.0,116.9,0
2021-01,JANGURUSSU,4,2,0.0,76.0,0
2021-01,JARDIM BANDEIRANTES,4,4,4.0,1263.0,0
2021-01,JARDIM CASTELÃO,1,0,0.0,0.0,0
2021-01,JARDIM IRACEMA,4,0,4.5,0.0,0
2021-01,JARDIM PARAÍSO,1,0,0.0,0.0,0
