cidade,bairro,hour,count
ACARAÚ,Córrego da Ana Veríssimo,1,1
Abaiara,Alto da Alegria,18,1
Abaiara,Zona Rural,19,1
Acarape,Centro,6,1
Acarape,Centro,17,1
Acarape,São Benedito,23,1
Acarape,Vermelho,17,1
Acarape,Zona Rural,4,1
Acarape,Zona Rural,17,1
Acarape,Zona Rural,21,1
Acarape,Zona Rural,23,1
Acaraú,Acaraú,0,1
Acaraú,Almecegas,19,1
Acaraú,Alto Alegre II,1,1
Acaraú,Arpoeiras,17,1
Acaraú,Bailarina,1,2
Acaraú,Bailarina,5,1
Acaraú,Bailarina,6,1
Acaraú,Bailarina,14,1
Acaraú,Bailarina,17,1
Acaraú,Bailarina,19,1
Acaraú,Buriti,1,1
Acaraú,Buriti,2,1
Acaraú,Buriti,4,1
Acaraú,Buriti,6,1
Acaraú,Buriti,13,1
Acaraú,Campo de Aviação,12,1
Acaraú,Campo de Aviação,16,1
Acaraú,Campo de Aviação,17,1
Acaraú,Carrapicho,6,1
Acaraú,Cauassú,4,1
Acaraú,Celsolândia,15,1
Acaraú,Celsolândia,16,1
Acaraú,Centro,1,1
Acaraú,Centro,2,2
Acaraú,Centro,3,1
Acaraú,Centro,5,2
Acaraú,Centro,6,2
Acaraú,Centro,7,1
Acaraú,Centro,11,1
Acaraú,Centro,16,1
Acaraú,Centro,17,2
Acaraú,Centro,23,1
Acaraú,Centro 3,6,1
Acaraú,Córrego Urubu,6,1
Acaraú,Distrito Aranaú,0,1
Acaraú,Entrada Da Cruz,15,1
Acaraú,Espraiado,23,1
Acaraú,Fazenda São Roque,5,1
Acaraú,Juritianha,10,1
Acaraú,Juritianha,15,1
Acaraú,Juritianha,17,1
Acaraú,Juritianha,20,1
Acaraú,Juritiania,19,1
Acaraú,Juritinhan,17,1
Acaraú,Localidade de Juritianha,15,1
Acaraú,Logoa do Mato,16,1
Acaraú,Mongubas,16,2
Acaraú,Mongubás,18,1
Acaraú,Mongudas,17,1
Acaraú,Morada Nova,0,1
Acaraú,Morada Nova,1,3
Acaraú,Morada Nova,5,2
Acaraú,Morada Nova,13,1
Acaraú,Morada Nova,15,1
Acaraú,Morada Nova,16,1
Acaraú,Morada Nova,17,1
Acaraú,Morada Nova,20,2
Acaraú,Morada Nova,21,1
Acaraú,Morada Nova,23,1
Acaraú,Mungubas,5,2
Acaraú,Mungubas,18,1
Acaraú,Outra Banda,3,1
Acaraú,Outra Banda,12,1
Acaraú,Outra Banda,16,1
Acaraú,Outra Banda,18,1
Acaraú,Paulo Sexto,0,1
Acaraú,Paulo Sexto,2,1
Acaraú,Paulo VI,3,2
Acaraú,Paulo VI,6,1
Acaraú,Paulo VI,10,1
Acaraú,Paulo VI,17,1
Acaraú,Paulo VI,19,1
Acaraú,Paulo VI de Cima,4,1
Acaraú,Pedrinhas,1,2
Acaraú,Pedrinhas,3,3
Acaraú,Pedrinhas,4,1
Acaraú,Pedrinhas,13,1
Acaraú,Pedrinhas,14,2
Acaraú,Pedrinhas,15,1
Acaraú,Pedrinhas,16,2
Acaraú,Pedrinhas,17,2
Acaraú,Pedrinhas,19,1
Acaraú,Pedrinhas,22,1
Acaraú,"Pedrinhas,",3,1
Acaraú,Piranhas,3,1
Acaraú,Sagui,3,1
Acaraú,Sagui,13,1
Acaraú,Saguim,0,1
Acaraú,Saguim,3,1
Acaraú,Saguim,13,1
Acaraú,Saguim,21,1
Acaraú,Salguin,17,1
Acaraú,Santa Fé,22,1
Acaraú,São Gerardo,17,1
Acaraú,Sítio Buriti,1,1
Acaraú,Sítio Buriti,2,1
Acaraú,Sítio Buriti,16,1
Acaraú,Triângulo do Marco,18,1
Acaraú,Zona Rural,0,4
Acaraú,Zona Rural,2,1
Acaraú,Zona Rural,3,2
Acaraú,Zona Rural,4,1
Acaraú,Zona Rural,5,1
Acaraú,Zona Rural,6,1
Acaraú,Zona Rural,10,2
Acaraú,Zona Rural,11,1
Acaraú,Zona Rural,12,4
Acaraú,Zona Rural,13,1
Acaraú,Zona Rural,14,4
Acaraú,Zona Rural,15,8
Acaraú,Zona Rural,16,3
Acaraú,Zona Rural,17,6
Acaraú,Zona Rural,18,5
Acaraú,Zona Rural,19,1
Acaraú,Zona Rural,20,1
Acaraú,Zona Rural,21,4
Acaraú,Zona Rural,22,1
Acaraú,Zona Rural,23,2
Acaraú,Zona Urbana,15,1
Acaraú,Zona Urbana,16,1
Acopiara,Acopiara,21,1
Acopiara,Aroeira,1,1
Acopiara,Aroeira,14,1
Acopiara,Aroeiras,12,1
Acopiara,Aroeiras,20,1
Acopiara,Catolé Da Pista,16,1
Acopiara,Centro,0,2
Acopiara,Centro,1,3
Acopiara,Centro,2,4
Acopiara,Centro,3,2
Acopiara,Centro,6,1
Acopiara,Centro,10,2
Acopiara,Centro,12,2
Acopiara,Centro,13,2
Acopiara,Centro,14,2
