cidade,bairro,hour,mean_count,index,proportion
Fortaleza,AEROLÂNDIA,1,2.0,1.3333333333333333,0.09523809523809523
Fortaleza,AEROLÂNDIA,2,1.0,0.6666666666666666,0.047619047619047616
Fortaleza,AEROLÂNDIA,3,1.0,0.6666666666666666,0.047619047619047616
Fortaleza,AEROLÂNDIA,5,2.0,1.3333333333333333,0.09523809523809523
Fortaleza,AEROLÂNDIA,7,1.0,0.6666666666666666,0.047619047619047616
Fortaleza,AEROLÂNDIA,8,1.0,0.6666666666666666,0.047619047619047616
Fortaleza,AEROLÂNDIA,10,1.0,0.6666666666666666,0.047619047619047616
Fortaleza,AEROLÂNDIA,12,1.0,0.6666666666666666,0.047619047619047616
Fortaleza,AEROLÂNDIA,15,1.0,0.6666666666666666,0.047619047619047616
Fortaleza,AEROLÂNDIA,16,1.0,0.6666666666666666,0.047619047619047616
Fortaleza,AEROLÂNDIA,18,2.0,1.3333333333333333,0.09523809523809523
Fortaleza,AEROLÂNDIA,19,4.0,2.6666666666666665,0.19047619047619047
Fortaleza,AEROLÂNDIA,21,2.0,1.3333333333333333,0.09523809523809523
Fortaleza,AEROLÂNDIA,22,1.0,0.6666666666666666,0.047619047619047616
Fortaleza,AEROPORTO,0,1.0,0.7857142857142857,0.07142857142857142
Fortaleza,AEROPORTO,1,1.0,0.7857142857142857,0.07142857142857142
Fortaleza,AEROPORTO,10,1.0,0.7857142857142857,0.07142857142857142
Fortaleza,AEROPORTO,13,1.0,0.7857142857142857,0.07142857142857142
Fortaleza,AEROPORTO,14,2.0,1.5714285714285714,0.14285714285714285
Fortaleza,AEROPORTO,15,1.0,0.7857142857142857,0.07142857142857142
Fortaleza,AEROPORTO,16,1.0,0.7857142857142857,0.07142857142857142
Fortaleza,AEROPORTO,17,2.0,1.5714285714285714,0.14285714285714285
Fortaleza,AEROPORTO,18,1.0,0.7857142857142857,0.07142857142857142
Fortaleza,AEROPORTO,20,1.0,0.7857142857142857,0.07142857142857142
Fortaleza,AEROPORTO,23,2.0,1.5714285714285714,0.14285714285714285
Fortaleza,ALDEOTA,1,1.0,0.8333333333333334,0.08333333333333333
Fortaleza,ALDEOTA,4,1.0,0.8333333333333334,0.08333333333333333
Fortaleza,ALDEOTA,5,1.0,0.8333333333333334,0.08333333333333333
Fortaleza,ALDEOTA,6,1.0,0.8333333333333334,0.08333333333333333
Fortaleza,ALDEOTA,10,1.0,0.8333333333333334,0.08333333333333333
Fortaleza,ALDEOTA,16,1.0,0.8333333333333334,0.08333333333333333
Fortaleza,ALDEOTA,18,1.0,0.8333333333333334,0.08333333333333333
Fortaleza,ALDEOTA,19,2.0,1.6666666666666667,0.16666666666666666
Fortaleza,ALDEOTA,20,2.0,1.6666666666666667,0.16666666666666666
Fortaleza,ALDEOTA,22,1.0,0.8333333333333334,0.08333333333333333
Fortaleza,ALTO DA BALANÇA,1,1.0,0.5,0.07142857142857142
Fortaleza,ALTO DA BALANÇA,3,2.0,1.0,0.14285714285714285
Fortaleza,ALTO DA BALANÇA,11,1.0,0.5,0.07142857142857142
Fortaleza,ALTO DA BALANÇA,14,1.0,0.5,0.07142857142857142
Fortaleza,ALTO DA BALANÇA,17,4.0,2.0,0.2857142857142857
Fortaleza,ALTO DA BALANÇA,19,2.0,1.0,0.14285714285714285
Fortaleza,ALTO DA BALANÇA,20,3.0,1.5,0.21428571428571427
Fortaleza,AMADEU FURTADO,4,2.0,1.5,0.25
Fortaleza,AMADEU FURTADO,12,1.0,0.75,0.125
Fortaleza,AMADEU FURTADO,17,1.0,0.75,0.125
Fortaleza,AMADEU FURTADO,19,1.0,0.75,0.125
Fortaleza,AMADEU FURTADO,20,2.0,1.5,0.25
Fortaleza,AMADEU FURTADO,23,1.0,0.75,0.125
Fortaleza,ANCURI,1,1.0,0.7692307692307692,0.07692307692307693
Fortaleza,ANCURI,7,2.0,1.5384615384615383,0.15384615384615385
Fortaleza,ANCURI,10,2.0,1.5384615384615383,0.15384615384615385
Fortaleza,ANCURI,13,2.0,1.5384615384615383,0.15384615384615385
Fortaleza,ANCURI,14,1.0,0.7692307692307692,0.07692307692307693
Fortaleza,ANCURI,15,1.0,0.7692307692307692,0.07692307692307693
Fortaleza,ANCURI,16,1.0,0.7692307692307692,0.07692307692307693
Fortaleza,ANCURI,19,1.0,0.7692307692307692,0.07692307692307693
Fortaleza,ANCURI,20,1.0,0.7692307692307692,0.07692307692307693
Fortaleza,ANCURI,22,1.0,0.7692307692307692,0.07692307692307693
Fortaleza,ANTÔNIO BEZERRA,1,4.0,1.5238095238095237,0.09523809523809523
Fortaleza,ANTÔNIO BEZERRA,7,2.0,0.7619047619047619,0.047619047619047616
Fortaleza,ANTÔNIO BEZERRA,8,2.0,0.7619047619047619,0.047619047619047616
Fortaleza,ANTÔNIO BEZERRA,9,1.0,0.38095238095238093,0.023809523809523808
Fortaleza,ANTÔNIO BEZERRA,10,3.0,1.1428571428571428,0.07142857142857142
Fortaleza,ANTÔNIO BEZERRA,12,2.0,0.7619047619047619,0.047619047619047616
Fortaleza,ANTÔNIO BEZERRA,14,2.0,0.7619047619047619,0.047619047619047616
Fortaleza,ANTÔNIO BEZERRA,15,3.0,1.1428571428571428,0.07142857142857142
Fortaleza,ANTÔNIO BEZERRA,16,3.0,1.1428571428571428,0.07142857142857142
Fortaleza,ANTÔNIO BEZERRA,17,3.0,1.1428571428571428,0.07142857142857142
Fortaleza,ANTÔNIO BEZERRA,18,2.0,0.7619047619047619,0.047619047619047616
Fortaleza,ANTÔNIO BEZERRA,19,2.0,0.7619047619047619,0.047619047619047616
Fortaleza,ANTÔNIO BEZERRA,20,2.0,0.7619047619047619,0.047619047619047616
Fortaleza,ANTÔNIO BEZERRA,21,2.0,0.7619047619047619,0.047619047619047616
Fortaleza,ANTÔNIO BEZERRA,22,8.0,3.0476190476190474,0.19047619047619047
Fortaleza,ANTÔNIO BEZERRA,23,1.0,0.38095238095238093,0.023809523809523808
Fortaleza,ARACAPÉ,2,1.0,0.6818181818181819,0.045454545454545456
Fortaleza,ARACAPÉ,3,2.0,1.3636363636363638,0.09090909090909091
Fortaleza,ARACAPÉ,4,1.0,0.6818181818181819,0.045454545454545456
Fortaleza,ARACAPÉ,9,1.0,0.6818181818181819,0.045454545454545456
Fortaleza,ARACAPÉ,11,2.0,1.3636363636363638,0.09090909090909091
Fortaleza,ARACAPÉ,12,2.0,1.3636363636363638,0.09090909090909091
Fortaleza,ARACAPÉ,13,2.0,1.3636363636363638,0.09090909090909091
Fortaleza,ARACAPÉ,14,1.0,0.6818181818181819,0.045454545454545456
Fortaleza,ARACAPÉ,15,2.0,1.3636363636363638,0.09090909090909091
Fortaleza,ARACAPÉ,16,1.0,0.6818181818181819,0.045454545454545456
Fortaleza,ARACAPÉ,17,1.0,0.6818181818181819,0.045454545454545456
Fortaleza,ARACAPÉ,19,1.0,0.6818181818181819,0.045454545454545456
Fortaleza,ARACAPÉ,20,2.0,1.3636363636363638,0.09090909090909091
Fortaleza,ARACAPÉ,21,1.0,0.6818181818181819,0.045454545454545456
Fortaleza,ARACAPÉ,23,2.0,1.3636363636363638,0.09090909090909091
Fortaleza,AUTRAN NUNES,0,1.0,0.8181818181818181,0.09090909090909091
Fortaleza,AUTRAN NUNES,1,2.0,1.6363636363636362,0.18181818181818182
Fortaleza,AUTRAN NUNES,7,1.0,0.8181818181818181,0.09090909090909091
Fortaleza,AUTRAN NUNES,8,1.0,0.8181818181818181,0.09090909090909091
Fortaleza,AUTRAN NUNES,13,1.0,0.8181818181818181,0.09090909090909091
Fortaleza,AUTRAN NUNES,15,1.0,0.8181818181818181,0.09090909090909091
Fortaleza,AUTRAN NUNES,16,1.0,0.8181818181818181,0.09090909090909091
Fortaleza,AUTRAN NUNES,19,2.0,1.6363636363636362,0.18181818181818182
Fortaleza,AUTRAN NUNES,21,1.0,0.8181818181818181,0.09090909090909091
Fortaleza,BARRA DO CEARÁ,0,8.0,1.3714285714285714,0.05714285714285714
Fortaleza,BARRA DO CEARÁ,1,3.0,0.5142857142857143,0.02142857142857143
Fortaleza,BARRA DO CEARÁ,2,3.0,0.5142857142857143,0.02142857142857143
Fortaleza,BARRA DO CEARÁ,3,2.0,0.34285714285714286,0.014285714285714285
Fortaleza,BARRA DO CEARÁ,4,6.0,1.0285714285714287,0.04285714285714286
Fortaleza,BARRA DO CEARÁ,5,2.0,0.34285714285714286,0.014285714285714285
Fortaleza,BARRA DO CEARÁ,6,1.0,0.17142857142857143,0.007142857142857143
Fortaleza,BARRA DO CEARÁ,7,2.0,0.34285714285714286,0.014285714285714285
Fortaleza,BARRA DO CEARÁ,8,1.0,0.17142857142857143,0.007142857142857143
Fortaleza,BARRA DO CEARÁ,9,3.0,0.5142857142857143,0.02142857142857143
Fortaleza,BARRA DO CEARÁ,10,3.0,0.5142857142857143,0.02142857142857143
Fortaleza,BARRA DO CEARÁ,11,3.0,0.5142857142857143,0.02142857142857143
Fortaleza,BARRA DO CEARÁ,12,5.0,0.8571428571428572,0.03571428571428571
Fortaleza,BARRA DO CEARÁ,13,10.0,1.7142857142857144,0.07142857142857142
Fortaleza,BARRA DO CEARÁ,14,6.0,1.0285714285714287,0.04285714285714286
Fortaleza,BARRA DO CEARÁ,15,5.0,0.8571428571428572,0.03571428571428571
Fortaleza,BARRA DO CEARÁ,16,10.0,1.7142857142857144,0.07142857142857142
Fortaleza,BARRA DO CEARÁ,17,6.0,1.0285714285714287,0.04285714285714286
Fortaleza,BARRA DO CEARÁ,18,14.0,2.4,0.1
Fortaleza,BARRA DO CEARÁ,19,9.0,1.542857142857143,0.06428571428571428
Fortaleza,BARRA DO CEARÁ,20,17.0,2.9142857142857146,0.12142857142857143
Fortaleza,BARRA DO CEARÁ,21,9.0,1.542857142857143,0.06428571428571428
Fortaleza,BARRA DO CEARÁ,22,7.0,1.2,0.05
Fortaleza,BARRA DO CEARÁ,23,5.0,0.8571428571428572,0.03571428571428571
Fortaleza,BARROSO,1,5.0,1.4492753623188406,0.07246376811594203
Fortaleza,BARROSO,4,3.0,0.8695652173913043,0.043478260869565216
Fortaleza,BARROSO,5,6.0,1.7391304347826086,0.08695652173913043
Fortaleza,BARROSO,6,3.0,0.8695652173913043,0.043478260869565216
Fortaleza,BARROSO,8,2.0,0.5797101449275363,0.028985507246376812
Fortaleza,BARROSO,9,1.0,0.2898550724637681,0.014492753623188406
Fortaleza,BARROSO,10,4.0,1.1594202898550725,0.057971014492753624
Fortaleza,BARROSO,11,2.0,0.5797101449275363,0.028985507246376812
Fortaleza,BARROSO,12,5.0,1.4492753623188406,0.07246376811594203
Fortaleza,BARROSO,13,3.0,0.8695652173913043,0.043478260869565216
Fortaleza,BARROSO,14,1.0,0.2898550724637681,0.014492753623188406
Fortaleza,BARROSO,15,2.0,0.5797101449275363,0.028985507246376812
Fortaleza,BARROSO,16,3.0,0.8695652173913043,0.043478260869565216
Fortaleza,BARROSO,17,4.0,1.1594202898550725,0.057971014492753624
Fortaleza,BARROSO,18,5.0,1.4492753623188406,0.07246376811594203
Fortaleza,BARROSO,19,4.0,1.1594202898550725,0.057971014492753624
Fortaleza,BARROSO,20,4.0,1.1594202898550725,0.057971014492753624
Fortaleza,BARROSO,21,7.0,2.0289855072463765,0.10144927536231885
Fortaleza,BARROSO,22,3.0,0.8695652173913043,0.043478260869565216
Fortaleza,BARROSO,23,2.0,0.5797101449275363,0.028985507246376812
Fortaleza,BELA VISTA,1,1.0,0.8571428571428571,0.14285714285714285
Fortaleza,BELA VISTA,7,1.0,0.8571428571428571,0.14285714285714285
Fortaleza,BELA VISTA,11,1.0,0.8571428571428571,0.14285714285714285
Fortaleza,BELA VISTA,13,1.0,0.8571428571428571,0.14285714285714285
Fortaleza,BELA VISTA,14,1.0,0.8571428571428571,0.14285714285714285
Fortaleza,BELA VISTA,16,2.0,1.7142857142857142,0.2857142857142857
Fortaleza,BENFICA,0,1.0,0.8571428571428571,0.14285714285714285
Fortaleza,BENFICA,6,1.0,0.8571428571428571,0.14285714285714285
Fortaleza,BENFICA,11,1.0,0.8571428571428571,0.14285714285714285
Fortaleza,BENFICA,16,2.0,1.7142857142857142,0.2857142857142857
Fortaleza,BENFICA,19,1.0,0.8571428571428571,0.14285714285714285
Fortaleza,BENFICA,23,1.0,0.8571428571428571,0.14285714285714285
Fortaleza,BOA VISTA/CASTELÃO,0,1.0,0.5161290322580645,0.03225806451612903
Fortaleza,BOA VISTA/CASTELÃO,4,1.0,0.5161290322580645,0.03225806451612903
Fortaleza,BOA VISTA/CASTELÃO,6,1.0,0.5161290322580645,0.03225806451612903
Fortaleza,BOA VISTA/CASTELÃO,7,1.0,0.5161290322580645,0.03225806451612903
Fortaleza,BOA VISTA/CASTELÃO,9,2.0,1.032258064516129,0.06451612903225806
Fortaleza,BOA VISTA/CASTELÃO,11,1.0,0.5161290322580645,0.03225806451612903
