cidade,bairro,year,month,month_name,count
Abaiara,,2022,7,Julho,1
Abaiara,,2022,12,Dezembro,1
Abaiara,,2023,1,Janeiro,1
Abaiara,,2024,1,Janeiro,1
Abaiara,,2024,12,Dezembro,1
Acarape,,2022,5,Maio,1
Acarape,,2022,8,Agosto,1
Acarape,,2022,10,Outubro,1
Acarape,,2022,11,Novembro,1
Acarape,,2023,2,Fevereiro,2
Acarape,,2023,11,Novembro,1
Acarape,,2024,3,Março,1
Acarape,,2024,7,Julho,1
Acarape,,2024,10,Outubro,2
Acarape,,2024,11,Novembro,2
Acarape,,2025,3,Março,1
Acarape,,2025,5,Maio,2
Acarape,,2025,8,Agosto,1
Acaraú,,2022,2,Fevereiro,3
Acaraú,,2022,3,Março,1
Acaraú,,2022,4,Abril,3
Acaraú,,2022,5,Maio,1
Acaraú,,2022,7,Julho,1
Acaraú,,2022,8,Agosto,4
Acaraú,,2022,9,Setembro,1
Acaraú,,2022,11,Novembro,2
Acaraú,,2022,12,Dezembro,1
Acaraú,,2023,1,Janeiro,2
Acaraú,,2023,6,Junho,2
Acaraú,,2023,8,Agosto,1
Acaraú,,2023,10,Outubro,2
Acaraú,,2023,11,Novembro,2
Acaraú,,2023,12,Dezembro,3
Acaraú,,2024,2,Fevereiro,3
Acaraú,,2024,4,Abril,1
Acaraú,,2024,5,Maio,1
Acaraú,,2024,7,Julho,1
Acaraú,,2024,9,Setembro,2
Acaraú,,2024,10,Outubro,1
Acaraú,,2024,11,Novembro,1
Acaraú,,2025,3,Março,1
Acaraú,,2025,4,Abril,2
Acaraú,,2025,6,Junho,1
Acaraú,,2025,7,Julho,1
Acaraú,,2025,11,Novembro,2
Acopiara,,2022,4,Abril,1
Acopiara,,2022,5,Maio,2
Acopiara,,2022,6,Junho,1
Acopiara,,2022,7,Julho,1
Acopiara,,2022,9,Setembro,2
Acopiara,,2022,10,Outubro,2
Acopiara,,2022,11,Novembro,1
Acopiara,,2023,3,Março,1
Acopiara,,2023,4,Abril,2
Acopiara,,2023,7,Julho,1
Acopiara,,2023,8,Agosto,1
Acopiara,,2023,9,Setembro,1
Acopiara,,2023,11,Novembro,1
Acopiara,,2023,12,Dezembro,1
Acopiara,,2024,2,Fevereiro,1
Acopiara,,2024,4,Abril,3
Acopiara,,2024,5,Maio,2
Acopiara,,2024,6,Junho,1
Acopiara,,2024,7,Julho,1
Acopiara,,2024,8,Agosto,1
Acopiara,,2024,9,Setembro,3
Acopiara,,2024,10,Outubro,2
Acopiara,,2024,11,Novembro,2
Acopiara,,2024,12,Dezembro,1
Acopiara,,2025,1,Janeiro,1
Acopiara,,2025,3,Março,1
Acopiara,,2025,6,Junho,1
Acopiara,,2025,8,Agosto,1
Acopiara,,2025,9,Setembro,1
Acopiara,,2025,10,Outubro,1
Acopiara,,2025,11,Novembro,1
Aiuaba,,2022,1,Janeiro,1
Aiuaba,,2023,2,Fevereiro,1
Aiuaba,,2023,3,Março,1
Aiuaba,,2023,6,Junho,1
Aiuaba,,2024,3,Março,1
Aiuaba,,2025,6,Junho,1
Alcântaras,,2022,10,Outubro,1
Alcântaras,,2023,7,Julho,1
Alcântaras,,2023,12,Dezembro,1
Altaneira,,2022,6,Junho,1
Altaneira,,2022,7,Julho,1
Altaneira,,2023,11,Novembro,1
Altaneira,,2024,2,Fevereiro,1
Altaneira,,2024,4,Abril,1
Altaneira,,2025,5,Maio,1
Altaneira,,2025,8,Agosto,1
Altaneira,,2026,1,Janeiro,1
Alto Santo,,2022,1,Janeiro,2
Alto Santo,,2022,4,Abril,1
Alto Santo,,2022,5,Maio,2
Alto Santo,,2022,6,Junho,3
Alto Santo,,2022,8,Agosto,1
Alto Santo,,2022,11,Novembro,5
Alto Santo,,2022,12,Dezembro,1
Alto Santo,,2023,1,Janeiro,2
Alto Santo,,2023,2,Fevereiro,2
Alto Santo,,2023,6,Junho,1
Alto Santo,,2023,7,Julho,1
Alto Santo,,2023,8,Agosto,1
Alto Santo,,2023,9,Setembro,1
Alto Santo,,2023,10,Outubro,2
Alto Santo,,2023,11,Novembro,2
Alto Santo,,2024,1,Janeiro,3
Alto Santo,,2024,4,Abril,2
Alto Santo,,2024,8,Agosto,2
Alto Santo,,2024,9,Setembro,1
Alto Santo,,2024,10,Outubro,1
Alto Santo,,2024,11,Novembro,1
Alto Santo,,2025,5,Maio,1
Alto Santo,,2025,7,Julho,1
Alto Santo,,2025,8,Agosto,1
Amontada,,2022,1,Janeiro,1
Amontada,,2022,3,Março,3
Amontada,,2022,6,Junho,2
Amontada,,2022,8,Agosto,2
Amontada,,2022,9,Setembro,1
Amontada,,2022,10,Outubro,1
Amontada,,2022,11,Novembro,1
Amontada,,2023,1,Janeiro,3
Amontada,,2023,4,Abril,7
Amontada,,2023,5,Maio,4
Amontada,,2023,6,Junho,2
Amontada,,2023,7,Julho,1
Amontada,,2023,8,Agosto,2
Amontada,,2023,9,Setembro,3
Amontada,,2023,10,Outubro,6
Amontada,,2023,11,Novembro,1
Amontada,,2023,12,Dezembro,4
Amontada,,2024,1,Janeiro,5
Amontada,,2024,2,Fevereiro,4
Amontada,,2024,3,Março,1
Amontada,,2024,4,Abril,3
Amontada,,2024,5,Maio,7
Amontada,,2024,6,Junho,2
Amontada,,2024,7,Julho,4
Amontada,,2024,8,Agosto,4
Amontada,,2024,9,Setembro,4
Amontada,,2024,10,Outubro,5
Amontada,,2024,11,Novembro,4
Amontada,,2024,12,Dezembro,1
Amontada,,2025,1,Janeiro,5
Amontada,,2025,2,Fevereiro,2
Amontada,,2025,3,Março,4
Amontada,,2025,5,Maio,2
Amontada,,2025,6,Junho,2
Amontada,,2025,7,Julho,2
Amontada,,2025,8,Agosto,11
Amontada,,2025,9,Setembro,5
Amontada,,2025,10,Outubro,3
Amontada,,2025,11,Novembro,4
Amontada,,2025,12,Dezembro,2
Antonina do Norte,,2024,3,Março,1
Antonina do Norte,,2024,8,Agosto,1
Antonina do Norte,,2024,9,Setembro,2
Apuiarés,,2022,1,Janeiro,1
Apuiarés,,2022,2,Fevereiro,2
Apuiarés,,2022,5,Maio,1
Apuiarés,,2023,2,Fevereiro,1
Apuiarés,,2023,3,Março,1
Apuiarés,,2023,4,Abril,1
Apuiarés,,2023,6,Junho,1
Apuiarés,,2023,7,Julho,1
Apuiarés,,2023,8,Agosto,1
Apuiarés,,2023,12,Dezembro,1
Apuiarés,,2024,5,Maio,1
Apuiarés,,2025,1,Janeiro,3
Apuiarés,,2025,2,Fevereiro,3
Apuiarés,,2025,9,Setembro,1
Apuiarés,,2025,12,Dezembro,1
Aquiraz,,2022,1,Janeiro,2
Aquiraz,,2022,2,Fevereiro,8
Aquiraz,,2022,3,Março,12
Aquiraz,,2022,4,Abril,4
Aquiraz,,2022,5,Maio,6
Aquiraz,,2022,6,Junho,5
Aquiraz,,2022,7,Julho,7
Aquiraz,,2022,8,Agosto,4
Aquiraz,,2022,9,Setembro,5
Aquiraz,,2022,10,Outubro,8
Aquiraz,,2022,11,Novembro,8
Aquiraz,,2022,12,Dezembro,2
Aquiraz,,2023,1,Janeiro,6
Aquiraz,,2023,2,Fevereiro,2
Aquiraz,,2023,3,Março,5
Aquiraz,,2023,4,Abril,6
Aquiraz,,2023,5,Maio,4
Aquiraz,,2023,7,Julho,1
Aquiraz,,2023,8,Agosto,2
Aquiraz,,2023,9,Setembro,1
Aquiraz,,2023,11,Novembro,3
Aquiraz,,2023,12,Dezembro,2
Aquiraz,,2024,1,Janeiro,3
Aquiraz,,2024,2,Fevereiro,2
Aquiraz,,2024,3,Março,7
Aquiraz,,2024,4,Abril,4
Aquiraz,,2024,5,Maio,2
Aquiraz,,2024,6,Junho,2
Aquiraz,,2024,7,Julho,3
Aquiraz,,2024,8,Agosto,2
Aquiraz,,2024,9,Setembro,1
Aquiraz,,2024,11,Novembro,3
Aquiraz,,2024,12,Dezembro,3
Aquiraz,,2025,1,Janeiro,2
Aquiraz,,2025,3,Março,1
Aquiraz,,2025,4,Abril,2
Aquiraz,,2025,5,Maio,3
Aquiraz,,2025,6,Junho,4
Aquiraz,,2025,7,Julho,3
Aquiraz,,2025,8,Agosto,1
Aquiraz,,2025,10,Outubro,4
Aquiraz,,2025,11,Novembro,3
Aracati,,2022,1,Janeiro,2
Aracati,,2022,2,Fevereiro,1
Aracati,,2022,5,Maio,1
Aracati,,2022,6,Junho,1
Aracati,,2022,7,Julho,3
Aracati,,2022,8,Agosto,2
Aracati,,2022,9,Setembro,3
Aracati,,2022,10,Outubro,2
Aracati,,2022,11,Novembro,4
Aracati,,2022,12,Dezembro,1
Aracati,,2023,1,Janeiro,2
Aracati,,2023,2,Fevereiro,8
Aracati,,2023,3,Março,1
Aracati,,2023,4,Abril,1
Aracati,,2023,6,Junho,1
Aracati,,2023,9,Setembro,2
Aracati,,2023,10,Outubro,1
Aracati,,2023,11,Novembro,6
Aracati,,2024,1,Janeiro,4
Aracati,,2024,2,Fevereiro,4
Aracati,,2024,4,Abril,3
Aracati,,2024,5,Maio,2
Aracati,,2024,6,Junho,2
Aracati,,2024,7,Julho,1
Aracati,,2024,8,Agosto,1
Aracati,,2024,9,Setembro,5
Aracati,,2024,10,Outubro,2
Aracati,,2024,11,Novembro,2
Aracati,,2024,12,Dezembro,3
Aracati,,2025,1,Janeiro,5
Aracati,,2025,2,Fevereiro,1
Aracati,,2025,3,Março,4
Aracati,,2025,4,Abril,2
Aracati,,2025,6,Junho,1
Aracati,,2025,9,Setembro,4
Aracati,,2026,1,Janeiro,2
Aracoiaba,,2022,1,Janeiro,1
Aracoiaba,,2022,2,Fevereiro,1
Aracoiaba,,2022,3,Março,1
Aracoiaba,,2022,4,Abril,1
Aracoiaba,,2022,5,Maio,2
Aracoiaba,,2022,7,Julho,2
Aracoiaba,,2022,8,Agosto,2
Aracoiaba,,2022,9,Setembro,1
Aracoiaba,,2022,11,Novembro,1
Aracoiaba,,2023,3,Março,1
