cidade,bairro,weekday,count
Abaiara,,Domingo,1
Abaiara,,Quinta-feira,1
Abaiara,,Segunda-feira,1
Abaiara,,Sexta-feira,1
Abaiara,,Sábado,1
Acarape,,Terça-feira,6
Acarape,,Quarta-feira,2
Acarape,,Quinta-feira,2
Acarape,,Segunda-feira,2
Acarape,,Sexta-feira,2
Acarape,,Sábado,2
Acarape,,Domingo,1
Acaraú,,Segunda-feira,9
Acaraú,,Terça-feira,9
Acaraú,,Quinta-feira,6
Acaraú,,Sexta-feira,6
Acaraú,,Sábado,6
Acaraú,,Domingo,5
Acaraú,,Quarta-feira,5
Acopiara,,Sábado,16
Acopiara,,Domingo,6
Acopiara,,Quinta-feira,6
Acopiara,,Sexta-feira,5
Acopiara,,Terça-feira,5
Acopiara,,Quarta-feira,2
Acopiara,,Segunda-feira,2
Aiuaba,,Domingo,2
Aiuaba,,Segunda-feira,2
Aiuaba,,Sábado,2
Alcântaras,,Domingo,2
Alcântaras,,Segunda-feira,1
Altaneira,,Sexta-feira,3
Altaneira,,Domingo,2
Altaneira,,Quarta-feira,1
Altaneira,,Quinta-feira,1
Altaneira,,Segunda-feira,1
Alto Santo,,Terça-feira,10
Alto Santo,,Domingo,7
Alto Santo,,Segunda-feira,7
Alto Santo,,Sábado,7
Alto Santo,,Sexta-feira,4
Alto Santo,,Quarta-feira,3
Alto Santo,,Quinta-feira,2
Amontada,,Domingo,24
Amontada,,Quinta-feira,22
Amontada,,Sexta-feira,21
Amontada,,Quarta-feira,19
Amontada,,Sábado,19
Amontada,,Segunda-feira,15
Amontada,,Terça-feira,10
Antonina do Norte,,Sexta-feira,2
Antonina do Norte,,Segunda-feira,1
Antonina do Norte,,Sábado,1
Apuiarés,,Quinta-feira,6
Apuiarés,,Domingo,4
Apuiarés,,Quarta-feira,4
Apuiarés,,Sábado,4
Apuiarés,,Terça-feira,2
Aquiraz,,Domingo,26
Aquiraz,,Terça-feira,26
Aquiraz,,Sexta-feira,25
Aquiraz,,Sábado,23
Aquiraz,,Quarta-feira,22
Aquiraz,,Segunda-feira,19
Aquiraz,,Quinta-feira,17
Aracati,,Sexta-feira,16
Aracati,,Domingo,15
Aracati,,Quarta-feira,13
Aracati,,Segunda-feira,13
Aracati,,Sábado,12
Aracati,,Terça-feira,11
Aracati,,Quinta-feira,10
Aracoiaba,,Sábado,12
Aracoiaba,,Domingo,6
Aracoiaba,,Quarta-feira,6
Aracoiaba,,Quinta-feira,4
Aracoiaba,,Sexta-feira,4
Aracoiaba,,Terça-feira,4
Aracoiaba,,Segunda-feira,3
Ararendá,,Segunda-feira,2
Ararendá,,Terça-feira,2
Ararendá,,Domingo,1
Araripe,,Domingo,2
Araripe,,Segunda-feira,2
Araripe,,Quarta-feira,1
Araripe,,Sexta-feira,1
Araripe,,Sábado,1
Araripe,,Terça-feira,1
Aratuba,,Domingo,9
Aratuba,,Quinta-feira,6
Aratuba,,Segunda-feira,6
Aratuba,,Quarta-feira,5
Aratuba,,Sábado,5
Aratuba,,Sexta-feira,2
Aratuba,,Terça-feira,2
Arneiroz,,Domingo,1
Arneiroz,,Segunda-feira,1
Assaré,,Segunda-feira,10
Assaré,,Sábado,5
Assaré,,Sexta-feira,3
Assaré,,Domingo,2
Assaré,,Quarta-feira,2
Assaré,,Terça-feira,2
Aurora,,Segunda-feira,4
Aurora,,Domingo,2
Aurora,,Sábado,1
Aurora,,Terça-feira,1
Banabuiú,,Domingo,8
Banabuiú,,Terça-feira,4
Banabuiú,,Quarta-feira,3
Banabuiú,,Quinta-feira,3
Banabuiú,,Segunda-feira,3
Banabuiú,,Sábado,2
Banabuiú,,Sexta-feira,1
Barbalha,,Sábado,12
Barbalha,,Domingo,11
Barbalha,,Segunda-feira,10
Barbalha,,Quinta-feira,8
Barbalha,,Terça-feira,7
Barbalha,,Sexta-feira,6
Barbalha,,Quarta-feira,5
Barreira,,Domingo,4
Barreira,,Sexta-feira,4
Barreira,,Segunda-feira,3
Barreira,,Terça-feira,3
Barreira,,Quarta-feira,2
Barreira,,Quinta-feira,2
Barreira,,Sábado,2
Barro,,Quinta-feira,3
Barro,,Terça-feira,2
Barro,,Domingo,1
Barro,,Quarta-feira,1
Barro,,Segunda-feira,1
Barro,,Sábado,1
Barroquinha,,Quarta-feira,5
Barroquinha,,Quinta-feira,3
Barroquinha,,Sexta-feira,3
Barroquinha,,Segunda-feira,2
Barroquinha,,Terça-feira,2
Barroquinha,,Domingo,1
Barroquinha,,Sábado,1
Baturité,,Sexta-feira,11
Baturité,,Segunda-feira,8
Baturité,,Domingo,7
Baturité,,Quarta-feira,7
Baturité,,Quinta-feira,7
Baturité,,Sábado,6
Baturité,,Terça-feira,6
Beberibe,,Sábado,15
Beberibe,,Domingo,12
Beberibe,,Quinta-feira,10
Beberibe,,Quarta-feira,9
Beberibe,,Segunda-feira,8
Beberibe,,Sexta-feira,8
Beberibe,,Terça-feira,8
Bela Cruz,,Sábado,6
Bela Cruz,,Quinta-feira,4
Bela Cruz,,Domingo,3
Bela Cruz,,Terça-feira,3
Bela Cruz,,Quarta-feira,2
Bela Cruz,,Segunda-feira,2
Boa Viagem,,Sexta-feira,25
Boa Viagem,,Sábado,25
Boa Viagem,,Domingo,19
Boa Viagem,,Quinta-feira,12
Boa Viagem,,Quarta-feira,11
Boa Viagem,,Segunda-feira,10
Boa Viagem,,Terça-feira,7
Brejo Santo,,Segunda-feira,7
Brejo Santo,,Sábado,5
Brejo Santo,,Quarta-feira,4
Brejo Santo,,Sexta-feira,4
Brejo Santo,,Domingo,3
Brejo Santo,,Quinta-feira,3
Brejo Santo,,Terça-feira,1
Camocim,,Domingo,18
Camocim,,Quarta-feira,16
Camocim,,Terça-feira,13
Camocim,,Sábado,10
Camocim,,Sexta-feira,9
Camocim,,Segunda-feira,8
Camocim,,Quinta-feira,6
Campos Sales,,Quinta-feira,5
Campos Sales,,Sexta-feira,5
Campos Sales,,Domingo,4
Campos Sales,,Sábado,4
Campos Sales,,Quarta-feira,3
Campos Sales,,Segunda-feira,2
Campos Sales,,Terça-feira,2
Canindé,,Sábado,20
Canindé,,Domingo,19
Canindé,,Segunda-feira,14
Canindé,,Quarta-feira,13
