cidade,bairro,weekday,mean_count,index,proportion
Fortaleza,AEROLÂNDIA,Domingo,6.0,1.4285714285714286,0.2857142857142857
Fortaleza,AEROLÂNDIA,Quarta-feira,5.0,1.1904761904761905,0.23809523809523808
Fortaleza,AEROLÂNDIA,Segunda-feira,4.0,0.9523809523809523,0.19047619047619047
Fortaleza,AEROLÂNDIA,Sexta-feira,3.0,0.7142857142857143,0.14285714285714285
Fortaleza,AEROLÂNDIA,Terça-feira,3.0,0.7142857142857143,0.14285714285714285
Fortaleza,AEROPORTO,Domingo,2.0,0.8571428571428571,0.14285714285714285
Fortaleza,AEROPORTO,Quarta-feira,2.0,0.8571428571428571,0.14285714285714285
Fortaleza,AEROPORTO,Quinta-feira,3.0,1.2857142857142856,0.21428571428571427
Fortaleza,AEROPORTO,Segunda-feira,1.0,0.42857142857142855,0.07142857142857142
Fortaleza,AEROPORTO,Sexta-feira,4.0,1.7142857142857142,0.2857142857142857
Fortaleza,AEROPORTO,Terça-feira,2.0,0.8571428571428571,0.14285714285714285
Fortaleza,ALDEOTA,Quarta-feira,3.0,1.25,0.25
Fortaleza,ALDEOTA,Quinta-feira,2.0,0.8333333333333334,0.16666666666666666
Fortaleza,ALDEOTA,Segunda-feira,3.0,1.25,0.25
Fortaleza,ALDEOTA,Sábado,2.0,0.8333333333333334,0.16666666666666666
Fortaleza,ALDEOTA,Terça-feira,2.0,0.8333333333333334,0.16666666666666666
Fortaleza,ALTO DA BALANÇA,Domingo,5.0,1.7857142857142858,0.35714285714285715
Fortaleza,ALTO DA BALANÇA,Quarta-feira,4.0,1.4285714285714286,0.2857142857142857
Fortaleza,ALTO DA BALANÇA,Sexta-feira,3.0,1.0714285714285714,0.21428571428571427
Fortaleza,ALTO DA BALANÇA,Sábado,1.0,0.35714285714285715,0.07142857142857142
Fortaleza,ALTO DA BALANÇA,Terça-feira,1.0,0.35714285714285715,0.07142857142857142
Fortaleza,AMADEU FURTADO,Domingo,3.0,2.25,0.375
Fortaleza,AMADEU FURTADO,Quarta-feira,1.0,0.75,0.125
