bairro_up,pearson_r,mean_abs_diff,max_abs_diff,months_prisoes_nonzero,months_cvli_nonzero
VICENTE PINZON,0.8551933506461117,1.5508021390374334,9.304812834224599,12,1
CONJUNTO NOVA ESPERANÇA,0.7878879960734642,1.1470588235294115,9.882352941176471,6,1
CAIS DO PORTO,0.7840745351316224,1.5159970238095237,9.5,11,1
PLANALTO CAUCAIA,0.6395954347251138,1.3532338308457712,10.119402985074627,8,1
CAMPO VELHO,0.5618684661581739,1.75,10.543478260869565,12,1
SANTA MARIA,0.5608486992345196,1.3833333333333335,10.4,8,1
SANTA TEREZA,0.5415235827569195,1.5542005420054201,10.402439024390244,10,1
PADRE LIMA,0.5070123039755792,1.2727272727272732,10.636363636363637,6,1
02 DE AGOSTO,0.46897904961054176,1.277777777777778,10.666666666666666,6,1
GUARANI,0.4265734265734267,1.226190476190476,10.857142857142858,5,1
BELA VISTA,0.4175325111686955,1.8185374747901133,10.725728155339805,12,1
PAVUNA,0.35950543677246727,1.482371794871795,5.365384615384615,11,2
SERTÃOZINHO,0.35675303400633784,1.25,11.0,5,1
SANTO EXPEDITO,0.3015113445777637,1.3333333333333333,11.0,6,1
ALTO DO CRISTO,0.30151134457776363,1.3333333333333333,11.0,6,1
BOA ESPERANÇA,0.24923873752084963,1.7882936507936507,10.9,12,1
BAILARINA,0.23354968324845687,1.2777777777777777,11.166666666666666,5,1
JOÃO CABRAL,0.2215268958702305,1.7189625850340136,10.826530612244898,11,1
JARI,0.19175710402937993,1.5,11.0,8,1
JOSÉ GERALDO DA CRUZ,0.1460954260673022,1.3055555555555556,11.333333333333334,5,1
RODOVIÁRIA,0.13671214247260752,1.662948933782267,11.0,10,1
BAIRRO DE FÁTIMA,0.09363004652605555,1.7419999999999998,10.984,11,1
EMPRÉSTIMO,0.07312724241271304,1.5333333333333332,11.2,8,1
NOVO ORIENTE,0.043979949713354234,1.4000000000000001,11.4,6,1
SANTA CASA,0.040625643687073436,1.5435897435897434,11.26153846153846,8,1
BARRO BRANCO,0.03979217639728573,1.6813725490196079,11.117647058823529,10,1
