cidade,bairro,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01
Fortaleza,AEROLÂNDIA,0,1,0,0,0,0,3,0,0,2,2,0,0,1,0,2,0,0,0,0,1,1,1,1,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Fortaleza,AEROPORTO,0,1,2,0,0,0,3,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fortaleza,ALDEOTA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,1,0,1,0,0,0,0
Fortaleza,ALTO DA BALANÇA,0,3,0,0,0,0,0,0,2,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fortaleza,AMADEU FURTADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Fortaleza,ANCURI,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0
Fortaleza,ANTÔNIO BEZERRA,2,0,0,3,6,0,2,0,2,1,2,1,0,0,0,0,0,0,1,0,0,1,1,3,0,0,2,1,1,1,2,2,0,0,1,2,1,0,0,0,0,0,0,0,0,2,2,0,0
Fortaleza,ARACAPÉ,0,1,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,2,0,0,1,1,0,1,1,0,0,0,0,1,0
Fortaleza,AUTRAN NUNES,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fortaleza,BARRA DO CEARÁ,1,0,1,3,6,4,5,5,3,1,0,0,2,1,3,2,3,2,3,2,4,3,5,2,6,0,4,2,3,2,3,0,5,3,3,11,7,3,4,3,6,3,2,2,3,0,3,1,0
Fortaleza,BARROSO,1,3,2,1,0,4,2,1,3,1,2,2,3,0,2,1,2,1,1,0,2,3,0,1,0,1,1,3,0,4,0,2,1,1,3,1,1,0,1,2,3,1,1,1,0,3,1,0,0
Fortaleza,BELA VISTA,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fortaleza,BENFICA,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fortaleza,BOA VISTA/CASTELÃO,0,2,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,3,0,0,1,1,1,2,1,1,0,1,0,0,0,0,0,1,0,1,0,1,3,2,1,1,0,0,0
Fortaleza,BOM FUTURO,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fortaleza,BOM JARDIM,0,1,1,6,1,0,0,2,2,2,2,5,0,0,2,1,0,0,1,2,1,1,0,0,0,0,0,1,1,1,0,1,2,2,2,0,2,1,3,1,1,1,1,0,1,3,0,0,0
Fortaleza,BONSUCESSO,0,4,5,1,1,4,2,2,3,1,1,1,1,2,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,2,3,0,1,0,0,1,0,1,0,1,2,0,0,0,0,0
Fortaleza,CAIS DO PORTO,1,0,0,0,1,0,2,0,1,0,0,1,0,0,2,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,1,1,0,1,0,0
Fortaleza,CAJAZEIRAS,0,1,0,0,2,0,0,0,3,0,0,0,1,1,0,0,0,0,1,0,1,2,1,1,1,3,2,2,2,0,1,0,0,2,0,0,2,1,0,0,2,0,0,0,0,1,0,0,2
Fortaleza,CAMBEBA,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Fortaleza,CANINDEZINHO,0,0,1,1,0,0,1,0,1,1,0,2,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,3,4,0,1,0,0,1,0,2,0,2,1,4,2,0,0,1,2,2,4,4,0
Fortaleza,CARARU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fortaleza,CARLITO PAMPLONA,1,0,0,0,1,2,0,0,0,0,0,0,2,1,0,1,1,0,1,3,2,1,3,1,0,2,1,3,1,1,3,2,1,4,4,1,0,0,0,1,0,1,1,2,0,1,0,1,0
Fortaleza,CENTRO,2,2,0,4,0,1,0,0,1,0,2,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,2,0,0,0,2,1,1,1,0,2,2,0,3,2,0,0,1,0
Fortaleza,CIDADE 2000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Fortaleza,CIDADE DOS FUNCIONÁRIOS,0,1,0,0,3,0,0,1,0,0,0,0,1,2,1,1,1,0,0,2,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,1,1,0,4,1,0,0,0,0,0,0,0,0,0
Fortaleza,COAÇU,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
Fortaleza,COCÓ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Fortaleza,CONJUNTO CEARÁ I,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Fortaleza,CONJUNTO CEARÁ II,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Fortaleza,CONJUNTO ESPERANÇA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0
Fortaleza,CONJUNTO PALMEIRAS,1,2,1,0,1,0,2,0,0,1,0,2,0,0,1,0,0,0,3,2,2,2,0,2,1,2,4,2,1,1,1,0,1,4,1,1,2,2,3,0,0,1,0,1,1,2,1,0,0
Fortaleza,COUTO FERNANDES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Fortaleza,CRISTO REDENTOR,2,2,2,0,3,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,2,3,2,2,1,3,6,0,1,1,1,2,3,2,3,1,0,3,2,2,0,0,0,3,0,0,0,0
Fortaleza,CURIÓ,3,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1
Fortaleza,DAMAS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fortaleza,DEMÓCRITO ROCHA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
